Código ,Designación de la mercancía,Grav.,Selectivo Ad Valorem,Selectivo Específico,ITBIS*
," - Hígados, huevas, lechas, aletas, cabezas, colas, vejigas natatorias y demás despojos comestibles de pescado:",,,,
0302.91.00," - - Hígados, huevas y lechas",20,,,0
0302.92.00, - - Aletas de tiburón,20,,,0
0302.99.00, - - Los demás,20,,,0
03.03,"Pescado congelado, excepto los filetes y demás carne de pescado de la partida 03.04",,,,
," - Salmónidos, excepto los despojos comestibles de pescado de las subpartidas 0303.91 a 0303.99:",,,,
0303.11.00, - - Salmones rojos (Oncorhynchus nerka),20,,,18
0303.12.00," - - Los demás salmones del Pacíficos (Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou y Oncorhynchus rhodurus)",20,,,18
0303.13.00, - - Salmones del Atlántico (Salmo salar) y Salmones del Danubio (Hucho hucho),20,,,18
0303.14.00," - - Truchas (Salmon trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache y Oncorhynchus chrysogaster)",20,,,18
0303.19.00, - - Los demás,20,,,18
," - Tilapias (Oreochromis spp.), bagres o peces gato (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carpas (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus,  Catla catla, Labeo spp, Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp), anguilas (Anguilla spp.), percas del Nilo (Lates niloticus) y peces cabeza de serpiente (Channa spp.), excepto los despojos comestibles de pescado de la subpartida 0303.91 a 0303.99:",,,,
0303.23.00, - - Tilapias (Oreochromis spp.),20,,,18
0303.24.00," - - Bagres o peces gato (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)",20,,,18
0303.25.00," - - Carpas (Cyprinus spp, Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.) ",20,,,18
0303.26.00, - - Anguilas (Anguilla spp.),20,,,18
0303.29.00, - - Los demás,20,,,18
," - Pescados planos (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae y Citharidae), excepto los despojos comestibles de pescado de las subpartidas 0303.91 a 0303.99:",,,,
0303.31.00," - - Fletanes («halibut») (Reinhardtius Hippoglossoides, Hippoglossus hippoglossus, Hipoglossus stenolepis)",20,,,18
0303.32.00, - - Sollas (Pleuronectes platessa),20,,,18
0303.33.00, - - Lenguados (Solea spp.),20,,,18
0303.34.00, - - Rodaballos («turbots») (Psetta maxima),20,,,18
0303.39.00, - - Los demás,20,,,18
," -  Atunes (del género Thunnus), listados (bonitos de vientre rayado) (Katsuwonus pelamis), excepto los despojos comestibles de pescado de las subpartidas 0303.91 a 0303.99:",,,,
0303.41.00, - - Albacoras o atunes blancos (Thunnus alalunga),0,,,18
0303.42.00, - - Atunes de aleta amarilla (rabiles) (Thunnus albacares),0,,,18
0303.43.00, - - Listados (bonitos de vientre rayado) (Katsuwonus pelamis)	,0,,,18
0303.44.00, - - Patudos o atunes ojo grande (Thunnus obesus),20,,,18
0303.45.00," - - Atunes comunes o de aleta azul, del Atlántico y Pacífico (Thunnus thynnus, Thunnus orientalis)",20,,,18
0303.46.00, - - Atunes del sur (Thunnus maccoyii),20,,,18
0303.49.00, - -  Los demas,0,,,18
," - Arenques (Clupea harengus, Clupea pallasii), anchoas (Engraulis spp.), sardinas (Sardina pilchardus Sardinops spp.), sardinelas (Sardinella spp.),  espadines (Sprattus sprattus), caballas (Scomber scombrus, Scomber australasicus, Scomber japonicus), caballas de la India (Rastrelliger spp.), carites (Scomberomorus spp.) jureles (Trachurus spp.), pámpanos (Caranx spp.), cobias (Rachycentron canadum) palometones plateados (Pampus spp.), papardas del Pacífico (Cololabis saira), macarelas (Decapterus spp.), capelanes (Mallotus villosus), peces espada (Xiphias gladius), bacoretas orientales (Euthynnus affinis), bonitos (Sarda spp.), agujas, marlines, peces vela o picudos (Istiophoridae), excepto los despojos comestibles de pescado de las subpartidas 0303.91 a 0303.99:",,,,
0303.51.00," - - Arenques (Clupea harengus, Clupea pallasii)",0,,,18
0303.53.00," - - Sardinas (Sardina pilchardus, Sardinops spp.), sardinelas (Sardinella spp.), y espadines (Sprattus sprattus) ",0,,,18
0303.54.00,"  - - Caballas (Scomber scombrus, Scomber australasicus, Scomber japonicus) ",20,,,18
0303.55.00, - - Jureles (Trachurus spp.),20,,,18
0303.56.00, - - Cobias (Rachycentron canadum),20,,,18
0303.57.00, - - Peces espadas (Xiphias gladius),20,,,18
0303.59.00, - - Los demás,20,,,18
," - Pescados de las familias Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae y Muraenolepididae, excepto los despojos de pescado de las subpartidas 0303.91 a 0303.99:",,,,
0303.63.00," - - Bacalaos (Gadus morhua, Gadus ogac, Gadus macrocephalus)",0,,,18
0303.64.00, - - Eglefinos (Melanogrammus aeglefinus) ,20,,,18
0303.65.00, - - Carboneros (Pollachius virens),20,,,18
0303.66.00," - - Merluzas (Merluccius spp., Urophycis spp.)",0,,,18
0303.67.00, - - Abadejos de Alaska (Theragra chalcogramma),20,,,18
0303.68.00," - - Bacaladillas (Micromesistius, poutassou, Micromesistius australis)",20,,,18
0303.69.00, - - Los demás,20,,,18
," - Los demás pescados, excepto los despojos comestibles de pescados de las subpartidas 0303.91 a 0303.99:",,,,
0303.81.00, - - Cazones y demás escualos ,20,,,18
0303.82.00, - - Rayas (Rajidae),20,,,18
0303.83.00," - - Austromerluzas antárticas y austromerluzas negras (merluzas negras, bacalaos de profundidad, nototenias negras)* (Dissostichus spp.)",20,,,18
0303.84.00, - - Róbalos (Dicentrarchus spp.),20,,,18
0303.89, - - Los demás:,,,,
0303.89.11," - - - Dorado (Dorado-delfín, perico o sandalio)* (Coryphaena hippurus)",20,,,18
0303.89.19, - - - Los demás,20,,,18
," - Hígados, huevas, lechas, aletas, cabezas, colas, vejigas natatorias y demás despojos comestibles de pescado:",,,,
0303.91.00," - - Hígados, huevas y lechas",20,,,18
0303.92.00, - - Aletas de tiburón,20,,,18
0303.99.00, - - Los demás,20,,,18
03.04,"Filetes y demás carne de pescado (incluso picada), frescos, refrigerados o congelados.",,,,
," - Filetes frescos o refrigerados de tilapias (Oreochromis spp.), bagres o peces gato (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carpas (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), anguilas (Anguilla spp.), percas del Nilo (Lates niloticus) y de peces cabeza de serpiente (Channa spp):",,,,
0304.31.00, - - Tilapias (Oreochromis spp.)  ,20,,,18
0304.32.00," - - Bagres o peces gato (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)",20,,,18
0304.33.00, - - Perca del Nilo (Lates niloticus) ,20,,,18
0304.39.00, - - Los demás,20,,,18
," - Filetes de los demás pescados, frescos o refrigerados:",,,,
0304.41.00," - - Salmones del Pacífico (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha Oncorhynchus kisutch, Oncorhynchus masou y Oncorhynchus rhodurus), salmones del Atlántico (Salmo Salar) y salmones de Danubio (Hucho hucho)",20,,,18
0304.42.00," - - Truchas (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache y Oncorhynchus chrysogaster)",20,,,18
0304.43.00," - - Pescados planos (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae y Citharidae)",20,,,18
0304.44.00," - - Pescados de la familias Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae y Muraenolepididae",20,,,18
0304.45.00 , - - Peces espada (Xiphia gladius),20,,,18
0304.46.00," - - Austromerluzas antárticas y austromerluzas negras (merluzas negras, bacalaos de profundidad, nototenias negras)* (Dissostichus spp.)",20,,,18
0304.47.00, - - Cazones y demás escualos,20,,,18
0304.48.00, - - Rayas (Rajidae),20,,,18
0304.49.00, - - Los demás,20,,,18
," - Los demás, frescos o refrigerados:",,,,
0304.51.00," - - Tilapias (Oreochromis spp.), bagres o peces gato (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carpas (Cyprinus spp., Carassius ssp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), anguilas (Anguilla spp.), percas del Nilo (Lates niloticus) y peces cabeza de serpiente (Channa spp.) ",20,,,18
0304.52.00, - - Salmónidos,20,,,18
0304.53.00," - - Pescados de las familias Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae y Muraenolepididae",20,,,18
0304.54.00, - - Pez espada (Xiphia gladius),20,,,18
0304.55.00," - - Austromerluzas antárticas y austromerluzas negras (merluzas negras, bacalaos de profundidad, nototenias negras)* (Dissostichus spp.)",20,,,18
0304.56.00, - - Cazones y demás escualos,20,,,18
0304.57.00, - - Rayas (Rajidae),20,,,18
0304.59.00, - - Los demás,20,,,18
," - Filetes congelados de tilapias (Oreochromis spp.), bagres o peces gato (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carpas (Cyprinus spp.,Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp.), Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.) Anguilas (Anguilla spp.), percas del Nilo (Lates niloticus) y de peces cabeza de serpiente (Channa spp.):",,,,
0304.61.00, - - Tilapias (Oreochromis spp.)  ,20,,,18
0304.62.00," - - Bagres o peces gato (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)",20,,,18
0304.63.00, - - Percas del Nilo (Lates niloticus) ,20,,,18
0304.69.00, - - Los demás,20,,,18
