revision,effective_date,policy_effective_date,tpc_date,policy_event,tpc_policy_revision,needs_review,policy_family,usitc_archive_page_url,modification_source_titles,modification_source_citations,federal_register_or_source_links,source_commentary
2021_rev_4,2021-06-10,NA,NA,Notice of Action in the Section 301 Investigation of Italy's Digital Services Tax (86 Fed. Reg. 30350); Notice of Action in the Section 301 Investigation of Turkey's Digital Services Tax (86 Fed. Reg. 30353); Notice of Action in the Section 301 Investigation of India's Digital Services Tax (86 Fed. Reg. 30356); Notice of Action in the Section 301 Investigation of Spain's Digital Services Tax (86 Fed. Reg. 30358); Notice of Action in the Section 301 Investigation of Austria's Digital Services Tax (86 Fed. Reg. 30361); Notice of Action in the Section 301 Investigation of the United Kingdom's Digital Services Tax (86 Fed. Reg. 30364),NA,NA,section_301_china_or_dst,https://www.usitc.gov/harmonized_tariff_information/hts/archive/list?page=3,Notice of Action in the Section 301 Investigation of Italy's Digital Services Tax | Notice of Action in the Section 301 Investigation of Turkey's Digital Services Tax | Notice of Action in the Section 301 Investigation of India's Digital Services Tax | Notice of Action in the Section 301 Investigation of Spain's Digital Services Tax | Notice of Action in the Section 301 Investigation of Austria's Digital Services Tax | Notice of Action in the Section 301 Investigation of the United Kingdom's Digital Services Tax,86 Fed. Reg. 30350 | 86 Fed. Reg. 30353 | 86 Fed. Reg. 30356 | 86 Fed. Reg. 30358 | 86 Fed. Reg. 30361 | 86 Fed. Reg. 30364,https://www.federalregister.gov/documents/2021/06/07/2021-11859/notice-of-action-in-the-section-301-investigation-of-italys-digital-services-tax | https://www.federalregister.gov/documents/2021/06/07/2021-11861/notice-of-action-in-the-section-301-investigation-of-turkeys-digital-services-tax | https://www.federalregister.gov/documents/2021/06/07/2021-11858/notice-of-action-in-the-section-301-investigation-of-indias-digital-services-tax | https://www.federalregister.gov/documents/2021/06/07/2021-11863/notice-of-action-in-the-section-301-investigation-of-spains-digital-services-tax | https://www.federalregister.gov/documents/2021/06/07/2021-11856/notice-of-action-in-the-section-301-investigation-of-austrias-digital-services-tax | https://www.federalregister.gov/documents/2021/06/07/2021-11862/notice-of-action-in-the-section-301-investigation-of-the-united-kingdoms-digital-services-tax,"Archive-driven from USITC HTS archive Modification Source(s). Use links to validate legal authority, effective dates, and Chapter 99 text."
2021_rev_5,2021-07-02,NA,NA,"To Provide for Duty-free Treatment Under the Earned Import Allowance Program, And For Other Purposes (73 Fed. Reg. 72677); To Implement USMCA and For Other Purposes (85 Fed. Reg. 39821); Changes approved by the Committee for Statistical Annotation of Tariff Schedules under section 484(f), Tariff Act of 1930 (484(f))",NA,NA,fta_usmca_and_other_hts_policy_and_statistical_or_technical,https://www.usitc.gov/harmonized_tariff_information/hts/archive/list?page=3,"To Provide for Duty-free Treatment Under the Earned Import Allowance Program, And For Other Purposes | To Implement USMCA and For Other Purposes | Changes approved by the Committee for Statistical Annotation of Tariff Schedules under section 484(f), Tariff Act of 1930",73 Fed. Reg. 72677 | 85 Fed. Reg. 39821 | 484(f),https://www.federalregister.gov/documents/2008/11/28/E8-28537/to-provide-for-duty-free-treatment-under-the-earned-import-allowance-program-and-for-other-purposes | https://www.federalregister.gov/documents/2020/07/01/2020-14448/to-take-certain-actions-under-the-united-states--mexico-canada-agreement-implementation-act-and-for | https://www.usitc.gov/harmonized_tariff_information/484_f_committee_changes,"REVIEW: Archive-driven from USITC HTS archive Modification Source(s). Use links to validate legal authority, effective dates, and Chapter 99 text."
2021_rev_6,2021-07-09,NA,NA,Suspension of Action: Enforcement of U.S. WTO Rights in the Large Civil Aircraft Dispute (86 Fed. Reg. 36313),NA,NA,other_hts_policy,https://www.usitc.gov/harmonized_tariff_information/hts/archive/list?page=3,Suspension of Action: Enforcement of U.S. WTO Rights in the Large Civil Aircraft Dispute,86 Fed. Reg. 36313,https://www.federalregister.gov/documents/2021/07/09/2021-14550/suspension-of-action-enforcement-of-us-wto-rights-in-the-large-civil-aircraft-dispute,"Archive-driven from USITC HTS archive Modification Source(s). Use links to validate legal authority, effective dates, and Chapter 99 text."
2021_rev_7,2021-08-02,NA,NA,To Take Certain Actions Under the African Growth and Opportunity Act and For Other Purposes (85 Fed. Reg. 85491),NA,NA,agoa,https://www.usitc.gov/harmonized_tariff_information/hts/archive/list?page=3,To Take Certain Actions Under the African Growth and Opportunity Act and For Other Purposes,85 Fed. Reg. 85491,https://www.federalregister.gov/documents/2020/12/29/2020-28878/to-take-certain-actions-under-the-african-growth-and-opportunity-act-and-for-other-purposes,"Archive-driven from USITC HTS archive Modification Source(s). Use links to validate legal authority, effective dates, and Chapter 99 text."
2021_rev_8,2021-09-30,NA,NA,"Conforming Amendment to Product Exclusion: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation (86 Fed. Reg. 42006); Notice of Product Exclusion Extensions: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation (86 Fed. Reg. 54011)",NA,NA,section_301_china_or_dst,https://www.usitc.gov/harmonized_tariff_information/hts/archive/list?page=3,"Conforming Amendment to Product Exclusion: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation | Notice of Product Exclusion Extensions: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation",86 Fed. Reg. 42006 | 86 Fed. Reg. 54011,https://www.federalregister.gov/documents/2021/08/04/2021-16567/conforming-amendment-to-product-exclusion-chinas-acts-policies-and-practices-related-to-technology | https://www.federalregister.gov/documents/2021/09/29/2021-21180/notice-of-product-exclusion-extensions-chinas-acts-policies-and-practices-related-to-technology,"Archive-driven from USITC HTS archive Modification Source(s). Use links to validate legal authority, effective dates, and Chapter 99 text."
2021_rev_9,2021-11-18,NA,NA,"Termination of Actions in the Section 301 Digital Services Tax Investigations of Austria, France, Italy, Spain, and the United Kingdom and Further Monitoring (86 Fed. Reg. 64590); Notice of Product Exclusion Extensions: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation (86 Fed. Reg. 63438)",NA,NA,section_301_china_or_dst,https://www.usitc.gov/harmonized_tariff_information/hts/archive/list?page=3,"Termination of Actions in the Section 301 Digital Services Tax Investigations of Austria, France, Italy, Spain, and the United Kingdom and Further Monitoring | Notice of Product Exclusion Extensions: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation",86 Fed. Reg. 64590 | 86 Fed. Reg. 63438,https://www.federalregister.gov/documents/2021/11/18/2021-25199/termination-of-actions-in-the-section-301-digital-services-tax-investigations-of-austria-france | https://www.federalregister.gov/documents/2021/11/16/2021-24918/notice-of-product-exclusion-extensions-chinas-acts-policies-and-practices-related-to-technology,"Archive-driven from USITC HTS archive Modification Source(s). Use links to validate legal authority, effective dates, and Chapter 99 text."
2021_rev_10,2021-12-01,NA,NA,"Notice of Product Exclusion Extensions: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation (86 Fed. Reg. 63438); Termination of Action in the Section 301 Digital Services Tax Investigation of Turkey and Further Monitoring (86 Fed. Reg. 68295)",NA,NA,section_301_china_or_dst,https://www.usitc.gov/harmonized_tariff_information/hts/archive/list?page=3,"Notice of Product Exclusion Extensions: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation | Termination of Action in the Section 301 Digital Services Tax Investigation of Turkey and Further Monitoring",86 Fed. Reg. 63438 | 86 Fed. Reg. 68295,https://www.federalregister.gov/documents/2021/11/16/2021-24918/notice-of-product-exclusion-extensions-chinas-acts-policies-and-practices-related-to-technology | https://www.federalregister.gov/documents/2021/12/01/2021-26116/termination-of-action-in-the-section-301-digital-services-tax-investigation-of-turkey-and-further,"Archive-driven from USITC HTS archive Modification Source(s). Use links to validate legal authority, effective dates, and Chapter 99 text."
2021_rev_11,2021-12-02,NA,NA,Termination of Action in the Digital Services Tax Investigation of India and Further Monitoring (86 Fed. Reg. 68526),NA,NA,other_hts_policy,https://www.usitc.gov/harmonized_tariff_information/hts/archive/list?page=3,Termination of Action in the Digital Services Tax Investigation of India and Further Monitoring,86 Fed. Reg. 68526,https://www.federalregister.gov/documents/2021/12/02/2021-26198/termination-of-action-in-the-digital-services-tax-investigation-of-india-and-further-monitoring,"Archive-driven from USITC HTS archive Modification Source(s). Use links to validate legal authority, effective dates, and Chapter 99 text."
2021_rev_12,2021-12-07,NA,NA,"Conforming Amendment to Product Exclusion and Extensions: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation (86 Fed. Reg. 69350)",NA,NA,section_301_china_or_dst,https://www.usitc.gov/harmonized_tariff_information/hts/archive/list?page=3,"Conforming Amendment to Product Exclusion and Extensions: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation",86 Fed. Reg. 69350,https://www.federalregister.gov/documents/2021/12/07/2021-26482/conforming-amendment-to-product-exclusion-and-extensions-chinas-acts-policies-and-practices-related,"Archive-driven from USITC HTS archive Modification Source(s). Use links to validate legal authority, effective dates, and Chapter 99 text."
2022_basic,2022-01-26,NA,NA,2022 basic edition (pre-2025 baseline: legacy §232 steel/alu + §301 China + §201),NA,NA,other_hts_policy,https://www.usitc.gov/harmonized_tariff_information/hts/archive/list?page=3,To Modify the Harmonized Tariff Schedule of the United States and For Other Purposes,86 Fed. Reg. 73593,https://www.federalregister.gov/documents/search?conditions%5Bterm%5D=To%20Modify%20the%20Harmonized%20Tariff%20Schedule%20of%20the%20United%20States%20and%20For%20Other%20Purposes%2086%20Fed.%20Reg.%2073593,"REVIEW: Archive-driven from USITC HTS archive Modification Source(s). Use links to validate legal authority, effective dates, and Chapter 99 text. USITC archive separately shows a Jan. 26, 2022 Basic Edition and a Feb. 15, 2022 Basic and Revision 1 entry; provided list uses 2022_basic Jan. 26 and 2022_rev_1 Feb. 14."
2022_rev_1,2022-02-14,NA,NA,"To Continue Facilitating Positive Adjustment to Competition From Imports of Certain Crystalline Silicon Photovoltaic Cells (Whether or Not Partially or Fully Assembled Into Other Products) (87 Fed. Reg. 7357); To Continue Facilitating Positive Adjustment to Competition From Imports of Large Residential Washers (86 Fed. Reg. 6541); Changes approved by the Committee for Statistical Annotation of Tariff Schedules under section 484(f), Tariff Act of 1930 (484(f))",NA,NA,section_201_safeguard_and_statistical_or_technical,https://www.usitc.gov/harmonized_tariff_information/hts/archive/list?page=3,"To Continue Facilitating Positive Adjustment to Competition From Imports of Certain Crystalline Silicon Photovoltaic Cells (Whether or Not Partially or Fully Assembled Into Other Products) | To Continue Facilitating Positive Adjustment to Competition From Imports of Large Residential Washers | Changes approved by the Committee for Statistical Annotation of Tariff Schedules under section 484(f), Tariff Act of 1930",87 Fed. Reg. 7357 | 86 Fed. Reg. 6541 | 484(f),https://www.federalregister.gov/documents/2022/02/09/2022-02906/to-continue-facilitating-positive-adjustment-to-competition-from-imports-of-certain-crystalline | https://www.federalregister.gov/documents/2021/01/21/2021-01466/to-continue-facilitating-positive-adjustment-to-competition-from-imports-of-large-residential | https://www.usitc.gov/harmonized_tariff_information/484_f_committee_changes,"REVIEW: Archive-driven from USITC HTS archive Modification Source(s). Use links to validate legal authority, effective dates, and Chapter 99 text."
2022_rev_2,2022-02-23,NA,NA,"China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation; Technical Modifications to 301 Action (87 Fed. Reg. 9785)",NA,NA,section_301_china_or_dst,https://www.usitc.gov/harmonized_tariff_information/hts/archive/list?page=3,"China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation; Technical Modifications to 301 Action",87 Fed. Reg. 9785,https://www.federalregister.gov/documents/2022/02/22/2022-03701/chinas-acts-policies-and-practices-related-to-technology-transfer-intellectual-property-and,"Archive-driven from USITC HTS archive Modification Source(s). Use links to validate legal authority, effective dates, and Chapter 99 text."
2022_rev_3,2022-03-30,NA,NA,"Notice of Reinstatement of Certain Exclusions: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation (87 Fed. Reg. 17380)",NA,NA,section_301_china_or_dst,https://www.usitc.gov/harmonized_tariff_information/hts/archive/list?page=3,"Notice of Reinstatement of Certain Exclusions: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation",87 Fed. Reg. 17380,https://www.federalregister.gov/documents/2022/03/28/2022-06397/notice-of-reinstatement-of-certain-exclusions-chinas-acts-policies-and-practices-related-to,"Archive-driven from USITC HTS archive Modification Source(s). Use links to validate legal authority, effective dates, and Chapter 99 text."
2022_rev_4,2022-04-07,NA,NA,Adjusting Imports of Steel Into the United States (87 Fed. Reg. 19351),NA,NA,section_232_steel,https://www.usitc.gov/harmonized_tariff_information/hts/archive/list?page=3,Adjusting Imports of Steel Into the United States,87 Fed. Reg. 19351,https://www.federalregister.gov/documents/2022/04/01/2022-07136/adjusting-imports-of-steel-into-the-united-states,"Archive-driven from USITC HTS archive Modification Source(s). Use links to validate legal authority, effective dates, and Chapter 99 text."
2022_rev_5,2022-06-03,NA,NA,"Adjusting Imports of Aluminum Into the United States (87 Fed. Reg. 33583); Adjusting Imports of Steel Into the United States (87 Fed. Reg. 33591); Adjusting Imports of Steel Into the United States (87 Fed. Reg. 33407); To Implement the United States-Oman Free Trade Agreement (73 Fed. Reg. 80289); To Implement the United States-Morocco Free Trade Agreement (70 Fed. Reg. 76651); Notice of Product Exclusion Extensions: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation (87 Fed. Reg. 33871)",NA,NA,other_hts_policy_and_section_232_aluminum_and_section_232_steel_and_section_301_china_or_dst,https://www.usitc.gov/harmonized_tariff_information/hts/archive/list?page=2,"Adjusting Imports of Aluminum Into the United States | Adjusting Imports of Steel Into the United States | Adjusting Imports of Steel Into the United States | To Implement the United States-Oman Free Trade Agreement | To Implement the United States-Morocco Free Trade Agreement | Notice of Product Exclusion Extensions: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation",87 Fed. Reg. 33583 | 87 Fed. Reg. 33591 | 87 Fed. Reg. 33407 | 73 Fed. Reg. 80289 | 70 Fed. Reg. 76651 | 87 Fed. Reg. 33871,https://www.federalregister.gov/documents/2022/06/03/2022-12097/adjusting-imports-of-aluminum-into-the-united-states | https://www.federalregister.gov/documents/2022/06/03/2022-12108/adjusting-imports-of-steel-into-the-united-states | https://www.federalregister.gov/documents/2022/06/02/2022-11991/adjusting-imports-of-steel-into-the-united-states | https://www.federalregister.gov/documents/2008/12/31/E8-31234/to-implement-the-united-states-oman-free-trade-agreement | https://www.federalregister.gov/documents/2005/12/27/05-24595/to-implement-the-united-states-morocco-free-trade-agreement | https://www.federalregister.gov/documents/2022/06/03/2022-11884/notice-of-product-exclusion-extensions-chinas-acts-policies-and-practices-related-to-technology,"Archive-driven from USITC HTS archive Modification Source(s). Use links to validate legal authority, effective dates, and Chapter 99 text."
2022_rev_6,2022-06-30,NA,NA,"Changes approved by the Committee for Statistical Annotation of Tariff Schedules under section 484(f), Tariff Act of 1930 (484(f))",NA,NA,statistical_or_technical,https://www.usitc.gov/harmonized_tariff_information/hts/archive/list?page=2,"Changes approved by the Committee for Statistical Annotation of Tariff Schedules under section 484(f), Tariff Act of 1930",484(f),https://www.usitc.gov/harmonized_tariff_information/484_f_committee_changes,"REVIEW: Archive-driven from USITC HTS archive Modification Source(s). Use links to validate legal authority, effective dates, and Chapter 99 text."
2022_rev_7,2022-07-20,NA,NA,Suspension of the Safeguard Action on Imports of Certain Crystalline Silicon Photovoltaic Cells Originating in Canada and Modification of the Harmonized Tariff Schedule of the United States (87 Fed. Reg. 43369),NA,NA,section_201_safeguard,https://www.usitc.gov/harmonized_tariff_information/hts/archive/list?page=2,Suspension of the Safeguard Action on Imports of Certain Crystalline Silicon Photovoltaic Cells Originating in Canada and Modification of the Harmonized Tariff Schedule of the United States,87 Fed. Reg. 43369,https://www.federalregister.gov/documents/2022/07/20/2022-15519/suspension-of-the-safeguard-action-on-imports-of-certain-crystalline-silicon-photovoltaic-cells,"Archive-driven from USITC HTS archive Modification Source(s). Use links to validate legal authority, effective dates, and Chapter 99 text."
2022_rev_8,2022-07-26,NA,NA,"To amend the Harmonized Tariff Schedule of the United States to suspend temporarily rates of duty on imports of certain infant formula products, and for other purposes (Public Law 117-160); Increasing Duties on Certain Articles From the Russian Federation (87 Fed. Reg. 38875)",NA,NA,other_hts_policy,https://www.usitc.gov/harmonized_tariff_information/hts/archive/list?page=2,"To amend the Harmonized Tariff Schedule of the United States to suspend temporarily rates of duty on imports of certain infant formula products, and for other purposes | Increasing Duties on Certain Articles From the Russian Federation",Public Law 117-160 | 87 Fed. Reg. 38875,https://www.congress.gov/117/plaws/publ160/PLAW-117publ160.pdf | https://www.federalregister.gov/documents/2022/06/30/2022-14145/increasing-duties-on-certain-articles-from-the-russian-federation,"REVIEW: Archive-driven from USITC HTS archive Modification Source(s). Use links to validate legal authority, effective dates, and Chapter 99 text."
2022_rev_9,2022-09-09,NA,NA,2022 Tariff Rate Quota Quantity Limitations Under the U.S.-Australia Free Trade Agreement (87 Fed. Reg. 55074),NA,NA,agriculture_trq,https://www.usitc.gov/harmonized_tariff_information/hts/archive/list?page=2,2022 Tariff Rate Quota Quantity Limitations Under the U.S.-Australia Free Trade Agreement,87 Fed. Reg. 55074,https://www.federalregister.gov/documents/2022/09/08/2022-19445/2022-tariff-rate-quota-quantity-limitations-under-the-us-australia-free-trade-agreement,"Archive-driven from USITC HTS archive Modification Source(s). Use links to validate legal authority, effective dates, and Chapter 99 text."
2022_rev_10,2022-09-23,NA,NA,Technical Correction to the Harmonized Tariff Schedule of the United States (87 Fed. Reg. 57968),NA,NA,statistical_or_technical,https://www.usitc.gov/harmonized_tariff_information/hts/archive/list?page=2,Technical Correction to the Harmonized Tariff Schedule of the United States,87 Fed. Reg. 57968,https://www.federalregister.gov/documents/2022/09/22/2022-20477/technical-correction-to-the-harmonized-tariff-schedule-of-the-united-states,"Archive-driven from USITC HTS archive Modification Source(s). Use links to validate legal authority, effective dates, and Chapter 99 text."
2022_rev_11,2022-10-17,NA,NA,"Bulk Infant Formula to Retail Shelves Act (Public Law 117-192); Notice of Conforming Amendments: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation (87 Fed. Reg. 62485); Notice of Technical Amendments to Two Exclusions: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation (87 Fed. Reg. 62486)",NA,NA,other_hts_policy_and_section_301_china_or_dst,https://www.usitc.gov/harmonized_tariff_information/hts/archive/list?page=2,"Bulk Infant Formula to Retail Shelves Act | Notice of Conforming Amendments: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation | Notice of Technical Amendments to Two Exclusions: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation",Public Law 117-192 | 87 Fed. Reg. 62485 | 87 Fed. Reg. 62486,https://www.congress.gov/117/plaws/publ192/PLAW-117publ192.pdf | https://www.federalregister.gov/documents/2022/10/14/2022-22354/notice-of-conforming-amendments-chinas-acts-policies-and-practices-related-to-technology-transfer | https://www.federalregister.gov/documents/2022/10/14/2022-22355/notice-of-technical-amendments-to-two-exclusions-chinas-acts-policies-and-practices-related-to,"REVIEW: Archive-driven from USITC HTS archive Modification Source(s). Use links to validate legal authority, effective dates, and Chapter 99 text."
2022_rev_12,2022-11-30,NA,NA,"Notice of Product Exclusion Extensions: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation (87 Fed. Reg. 73383)",NA,NA,section_301_china_or_dst,https://www.usitc.gov/harmonized_tariff_information/hts/archive/list?page=2,"Notice of Product Exclusion Extensions: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation",87 Fed. Reg. 73383,https://www.federalregister.gov/documents/2022/11/29/2022-25990/notice-of-product-exclusion-extensions-chinas-acts-policies-and-practices-related-to-technology,"Archive-driven from USITC HTS archive Modification Source(s). Use links to validate legal authority, effective dates, and Chapter 99 text."
2023_basic,2022-12-30,NA,NA,2023 basic edition (pre-2025 baseline: legacy §232 steel/alu + §301 China + §201),NA,NA,agoa_and_other_hts_policy_and_section_301_china_or_dst_and_statistical_or_technical,https://www.usitc.gov/harmonized_tariff_information/hts/archive/list?page=2,"To Take Certain Actions Under The African Growth And Opportunity Act And For Other Purposes | To Modify the Harmonized Tariff Schedule of the United States and For Other Purposes | To Implement the Dominican Republic-Central America-United States Free Trade Agreement with respect to Honduras and Nicaragua | Notice of Extensions for Reinstated Product Exclusions: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation | Changes approved by the Committee for Statistical Annotation of Tariff Schedules under section 484(f), Tariff Act of 1930",87 Fed. Reg. 79977 | 81 Fed. Reg. 87401 | 71 Fed. Reg. 16971 | 87 Fed. Reg. 78187 | 484(f),https://www.federalregister.gov/documents/2022/12/29/2022-28473/to-take-certain-actions-under-the-african-growth-and-opportunity-act-and-for-other-purposes | https://www.federalregister.gov/documents/2016/12/02/2016-29200/to-modify-the-harmonized-tariff-schedule-of-the-united-states-and-for-other-purposes | https://www.federalregister.gov/documents/2006/04/04/06-3299/to-implement-the-dominican-republic-central-america-united-states-free-trade-agreement-with-respect | https://www.federalregister.gov/documents/2022/12/21/2022-27637/notice-of-extensions-for-reinstated-product-exclusions-chinas-acts-policies-and-practices-related-to | https://www.usitc.gov/harmonized_tariff_information/484_f_committee_changes,"REVIEW: Archive-driven from USITC HTS archive Modification Source(s). Use links to validate legal authority, effective dates, and Chapter 99 text."
2023_rev_1,2023-02-16,NA,NA,"Interim Extension and Request for Comments on COVID-Related Product Exclusions: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation (88 Fed. Reg. 8027); Notice of Conforming and Technical Amendments: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation (88 Fed. Reg. 8986)",NA,NA,section_301_china_or_dst,https://www.usitc.gov/harmonized_tariff_information/hts/archive/list?page=2,"Interim Extension and Request for Comments on COVID-Related Product Exclusions: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation | Notice of Conforming and Technical Amendments: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation",88 Fed. Reg. 8027 | 88 Fed. Reg. 8986,https://www.federalregister.gov/documents/2023/02/07/2023-02570/interim-extension-and-request-for-comments-on-covid-related-product-exclusions-chinas-acts-policies | https://www.federalregister.gov/documents/2023/02/10/2023-02835/notice-of-conforming-and-technical-amendments-chinas-acts-policies-and-practices-related-to,"Archive-driven from USITC HTS archive Modification Source(s). Use links to validate legal authority, effective dates, and Chapter 99 text."
2023_rev_2,2023-03-09,NA,NA,Adjusting Imports of Aluminum Into the United States (88 Fed. Reg. 13267); Publication of 2023 Aggregate Quantities Under the U.S.-Australia Free Trade Agreement (88 Fed. Reg. 125),NA,NA,fta_australia_trq_and_section_232_aluminum,https://www.usitc.gov/harmonized_tariff_information/hts/archive/list?page=2,Adjusting Imports of Aluminum Into the United States | Publication of 2023 Aggregate Quantities Under the U.S.-Australia Free Trade Agreement,88 Fed. Reg. 13267 | 88 Fed. Reg. 125,https://www.federalregister.gov/documents/2023/03/02/2023-04470/adjusting-imports-of-aluminum-into-the-united-states | https://www.federalregister.gov/documents/2023/01/03/2022-28512/publication-of-2023-aggregate-quantities-under-the-us-australia-free-trade-agreement,"Archive-driven from USITC HTS archive Modification Source(s). Use links to validate legal authority, effective dates, and Chapter 99 text."
2023_rev_3,2023-03-31,NA,NA,Increasing Duties on Certain Articles From the Russian Federation (88 Fed. Reg. 13277),NA,NA,other_hts_policy,https://www.usitc.gov/harmonized_tariff_information/hts/archive/list?page=2,Increasing Duties on Certain Articles From the Russian Federation,88 Fed. Reg. 13277,https://www.federalregister.gov/documents/2023/03/02/2023-04471/increasing-duties-on-certain-articles-from-the-russian-federation,"Archive-driven from USITC HTS archive Modification Source(s). Use links to validate legal authority, effective dates, and Chapter 99 text."
2023_rev_4,2023-04-27,NA,NA,Adjusting Imports of Aluminum Into the United States (88 Fed. Reg. 13267),NA,NA,section_232_aluminum,https://www.usitc.gov/harmonized_tariff_information/hts/archive/list?page=2,Adjusting Imports of Aluminum Into the United States,88 Fed. Reg. 13267,https://www.federalregister.gov/documents/2023/03/02/2023-04470/adjusting-imports-of-aluminum-into-the-united-states,"Archive-driven from USITC HTS archive Modification Source(s). Use links to validate legal authority, effective dates, and Chapter 99 text."
2023_rev_5,2023-05-17,NA,NA,"Notice of Product Exclusion Extensions: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation (88 Fed. Reg. 31580)",NA,NA,section_301_china_or_dst,https://www.usitc.gov/harmonized_tariff_information/hts/archive/list?page=2,"Notice of Product Exclusion Extensions: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation",88 Fed. Reg. 31580,https://www.federalregister.gov/documents/2023/05/17/2023-10460/notice-of-product-exclusion-extensions-chinas-acts-policies-and-practices-related-to-technology,"Archive-driven from USITC HTS archive Modification Source(s). Use links to validate legal authority, effective dates, and Chapter 99 text."
2023_rev_6,2023-05-31,NA,NA,"Notice of Product Exclusion Extensions: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation (88 Fed. Reg. 31580)",NA,NA,section_301_china_or_dst,https://www.usitc.gov/harmonized_tariff_information/hts/archive/list?page=2,"Notice of Product Exclusion Extensions: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation",88 Fed. Reg. 31580,https://www.federalregister.gov/documents/2023/05/17/2023-10460/notice-of-product-exclusion-extensions-chinas-acts-policies-and-practices-related-to-technology,"Archive-driven from USITC HTS archive Modification Source(s). Use links to validate legal authority, effective dates, and Chapter 99 text."
2023_rev_7,2023-06-06,NA,NA,Adjusting Imports of Steel Into the United States (88 Fed. Reg. 36437),NA,NA,section_232_steel,https://www.usitc.gov/harmonized_tariff_information/hts/archive/list?page=2,Adjusting Imports of Steel Into the United States,88 Fed. Reg. 36437,https://www.federalregister.gov/documents/2023/06/05/2023-12055/adjusting-imports-of-steel-into-the-united-states,"Archive-driven from USITC HTS archive Modification Source(s). Use links to validate legal authority, effective dates, and Chapter 99 text."
2023_rev_8,2023-06-13,NA,NA,"Notice of Conforming Amendments to Product Exclusion Extensions: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation (88 Fed. Reg. 38120)",NA,NA,section_301_china_or_dst,https://www.usitc.gov/harmonized_tariff_information/hts/archive/list?page=2,"Notice of Conforming Amendments to Product Exclusion Extensions: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation",88 Fed. Reg. 38120,https://www.federalregister.gov/documents/2023/06/12/2023-12492/notice-of-conforming-amendments-to-product-exclusion-extensions-chinas-acts-policies-and-practices,"Archive-driven from USITC HTS archive Modification Source(s). Use links to validate legal authority, effective dates, and Chapter 99 text."
