GOODS_CODE,SUFFIX,INDENT,DESCRIPTION,UNIT,IS_LEAF,START_DATE
01064900505,80,5,巨草螳屬、虹螳屬、侍螳屬、小跳螳屬（異跳螳）、廣緣螳屬、姬螳屬、巨腿螳屬、齒螳屬、奇葉螳屬、原螳屬、斧螳屬、螳屬（薄翅螳）、半翅螳屬、靜螳屬（污斑螳）、刀螳屬、矮斧螳屬、尖眺螳屬（或稱南美綠螳屬）、偽螳屬（或稱擬螳屬）、巨螳屬、鍬螳屬、澳洲枝螳屬、斑光螳、闊臂螳、萊姆螳屬、斑光螳屬、透翅巨螳、瘦螳屬、小弱爪螳屬,KGM,1,
01064900907,80,5,其他活昆蟲,KGM,1,
010690,80,2,其他,,0,
01069000,80,3,其他活動物,,0,
01069000111,80,4,花狹口蛙屬、溫室蟾屬、海蟾蜍、泛樹蛙屬、古巴樹蛙,KGM,1,
01069000193,80,4,其他蛙及苗,KGM,1,
01069000200,80,4,Ｐｏｎｔｏｓｃｏｌｅｘ屬、薩爾塔細帶蚓、暗色阿波蚓、梯形阿波蚓、八方歐夜蚓、栗色正蚓、福氏正蚓、紅正蚓、陸正蚓，加拿大夜蚯蚓、天藍八線蚓，林地藍蚯蚓、乳白八線蚓，林地乳白蚓、旱田遠環蚓、羅佛理居遠環蚓、羅德萊斯遠環蚓、東京遠環蚓、希氏腔環蚓、尤金真蚓,KGM,1,
01069000308,80,4,鉗蠍科,KGM,1,
01069000406,80,4,寇蛛屬,KGM,1,
01069000905,80,4,其他活動物,KGM,1,
02,80,0,第２章　肉及食用雜碎,,0,
0201,80,1,牛肉，生鮮或冷藏,,0,
020110,80,2,屠體及半片屠體,,0,
02011010,80,3,特殊品級屠體及半片屠體牛肉，生鮮或冷藏,,0,
02011010003,80,4,特殊品級屠體及半片屠體牛肉，生鮮或冷藏,KGM,1,
02011090,80,3,其他屠體及半片屠體牛肉，生鮮或冷藏,,0,
02011090006,80,4,其他屠體及半片屠體牛肉，生鮮或冷藏,KGM,1,
020120,80,2,其他帶骨切割肉,,0,
02012010,80,3,特殊品級帶骨四分之一屠體牛肉及切割肉排（胸側肉、背脊肉、腰脊肉、上腿肉），生鮮或冷藏,,0,
02012010001,80,4,特殊品級帶骨四分之一屠體牛肉及切割肉排（胸側肉、背脊肉、腰脊肉、上腿肉），生鮮或冷藏,KGM,1,
02012020,80,3,特選級或精選級肉牛切割之帶骨牛腩、牛腱，生鮮或冷藏,,0,
02012020009,80,4,特選級或精選級肉牛切割之帶骨牛腩、牛腱，生鮮或冷藏,KGM,1,
02012090,80,3,其他帶骨切割牛肉，生鮮或冷藏,,0,
02012090102,80,4,帶骨切割牛肉排（胸側肉、背脊肉、腰脊肉、上腿肉），生鮮或冷藏,KGM,1,
02012090200,80,4,其他帶骨牛腩、牛腱，生鮮或冷藏,KGM,1,
02012090905,80,4,其他帶骨切割牛肉，生鮮或冷藏,KGM,1,
020130,80,2,去骨者,,0,
02013010,80,3,特殊品級去骨四分之一屠體牛肉及切割肉排（胸側肉、背脊肉、腰脊肉、上腿肉），生鮮或冷藏,,0,
02013010107,80,4,特殊品級去骨四分之一屠體牛肉及切割肉排（胸側肉、背脊肉、腰脊肉、上腿肉）之絞肉，生鮮或冷藏,KGM,1,
02013010900,80,4,其他特殊品級去骨四分之一屠體牛肉及切割肉排（胸側肉、背脊肉、腰脊肉、上腿肉），生鮮或冷藏,KGM,1,
02013020,80,3,特選級或精選級肉牛切割之去骨牛腩、牛腱，生鮮或冷藏,,0,
