GOODS_CODE,SUFFIX,INDENT,DESCRIPTION,UNIT,IS_LEAF,START_DATE
02011090,80,3,"Other carcasses and half-carcasses of bovine animals, fresh or chilled",,0,
02011090006,80,4,"Other carcasses and half-carcasses of bovine animals, fresh or chilled",KGM,1,
020120,80,2,Other cuts with bone in,,0,
02012010,80,3,"Special quality beef quarter-carcasses and cuts of steaks (rib, loins, sirloins, rump), of bovine animals, with bone in, fresh or chilled",,0,
02012010001,80,4,"Special quality beef quarter-carcasses and cuts of steaks (rib, loins, sirloins, rump), of bovine animals, with bone in, fresh or chilled",KGM,1,
02012020,80,3,"Prime or choice grade shin/shank, short plate, brisket, ribs, rib finger, of bovine animals, with bone in, fresh or chilled",,0,
02012020009,80,4,"Prime or choice grade shin/shank, short plate, brisket, ribs, rib finger, of bovine animals, with bone in, fresh or chilled",KGM,1,
02012090,80,3,"Other cuts of bovine animals, with bone in, fresh or chilled",,0,
02012090102,80,4,"Cuts of steaks (rib, loin, sirloin, rump), of bovine animals, with bone in, fresh or chilled",KGM,1,
02012090200,80,4,"Other shin/shank, short plate, brisket, ribs, rib finger, of bovine animals, with bone in, fresh or chilled",KGM,1,
02012090905,80,4,"Other cuts of bovine animals, with bone in, fresh or chilled",KGM,1,
020130,80,2,Boneless,,0,
02013010,80,3,"Special quality beef quarter-carcasses and cuts of steaks (rib, loins, sirloins, rump), of bovine animals, boneless, fresh or chilled",,0,
02013010107,80,4,"Ground meat from special quality beef quarter-carcasses and cuts of steaks (rib, loins, sirloins, rump), of bovine animals, boneless, fresh or chilled",KGM,1,
02013010900,80,4,"Other special quality beef quarter-carcasses and cuts of steaks (rib, loins, sirloins, rump), of bovine animals, boneless, fresh or chilled",KGM,1,
02013020,80,3,"Prime or choice grade shin/shank, short plate, brisket, ribs, rib finger, of bovine animals, boneless, fresh or chilled",,0,
02013020105,80,4,"Ground meat from prime or choice grade shin/shank, short plate, brisket, ribs, rib finger, of bovine animals, boneless, fresh or chilled",KGM,1,
02013020908,80,4,"Other prime or choice grade shin/shank, short plate, brisket, ribs, rib finger, of bovine animals, boneless, fresh or chilled",KGM,1,
02013090,80,3,"Other meat of bovine animals, boneless, fresh or chilled",,0,
02013090100,80,4,"Other cuts of steaks (rib, loin, fillet, sirloin, rump), of bovine animals, boneless, fresh or chilled",KGM,1,
02013090208,80,4,"Other shin/shank, intercostals, short plate, brisket, ribs, rib finger, thin flank, of bovine animals, boneless, fresh or chilled",KGM,1,
02013090306,80,4,"Ground meat from other meat of bovine animals, boneless, fresh or chilled",KGM,1,
02013090903,80,4,"Other meat of bovine animals, boneless, fresh or chilled",KGM,1,
0202,80,1,"Meat of bovine animals, frozen",,0,
020210,80,2,Carcasses and half-carcasses,,0,
02021010,80,3,"Special quality carcasses and half-carcasses of bovine animals, frozen",,0,
02021010002,80,4,"Special quality carcasses and half-carcasses of bovine animals, frozen",KGM,1,
02021090,80,3,"Other carcasses and half-carcasses of bovine animals, frozen",,0,
02021090005,80,4,"Other carcasses and half-carcasses of bovine animals, frozen",KGM,1,
020220,80,2,Other cuts with bone in,,0,
02022010,80,3,"Special quality beef quarter-carcasses and cuts of steaks (rib, loins, sirloins, rump), of bovine animals, with bone in, frozen",,0,
02022010000,80,4,"Special quality beef quarter-carcasses and cuts of steaks (rib, loins, sirloins, rump), of bovine animals, with bone in, frozen",KGM,1,
02022020,80,3,"Prime or choice grade shin/shank, short plate, brisket, ribs, rib finger, of bovine animals, with bone in, frozen",,0,
02022020008,80,4,"Prime or choice grade shin/shank, short plate, brisket, ribs, rib finger, of bovine animals, with bone in, frozen",KGM,1,
02022090,80,3,"Other cuts of bovine animals, with bone in, frozen",,0,
02022090101,80,4,"Other cuts of steaks (rib, loin, sirloin, rump), of bovine animals, with bone in, frozen",KGM,1,
02022090209,80,4,"Other shin/shank, short plate, brisket, ribs, rib finger, of bovine animals, with bone in, frozen",KGM,1,
02022090904,80,4,"Other cuts of bovine animals, with bone in, frozen",KGM,1,
020230,80,2,Boneless,,0,
02023010,80,3,"Special quality beef quarter-carcasses and cuts of steaks (rib, loins, sirloins, rump), of bovine animals, boneless, frozen",,0,
02023010106,80,4,"Ground meat from special quality beef quarter-carcasses and cuts of steaks (rib, loins, sirloins, rump), of bovine animals, boneless, frozen",KGM,1,
02023010909,80,4,"Other special quality beef quarter-carcasses and cuts of steaks (rib, loins, sirloins, rump), of bovine animals, boneless, frozen",KGM,1,
02023020,80,3,"Prime or choice grade shin/shank, short plate, brisket, ribs, rib finger, of bovine animals, boneless, frozen",,0,
02023020104,80,4,"Ground meat from prime or choice grade shin/shank, short plate, brisket, ribs, rib finger, of bovine animals, boneless, frozen",KGM,1,
02023020907,80,4,"Other prime or choice grade shin/shank, short plate, brisket, ribs, rib finger, of bovine animals, boneless, frozen",KGM,1,
02023090,80,3,"Other meat of bovine animals, boneless, frozen",,0,
02023090109,80,4,"Other cuts of steaks (rib, loin, fillet, sirloin, rump), of bovine animals, boneless, frozen",KGM,1,
02023090207,80,4,"Other shin/shank, intercostals, short plate, brisket, ribs, rib finger, thin flank, of bovine animals, boneless, frozen",KGM,1,
02023090305,80,4,"Ground meat from other meat of bovine animals, boneless, frozen",KGM,1,
02023090902,80,4,"Other meat of bovine animals, boneless, frozen",KGM,1,
0203,80,1,"Meat of swine, fresh, chilled or frozen",,0,
02031,80,2,Fresh or chilled:,,0,
020311,80,3,Carcasses and half-carcasses,,0,
02031100,80,4,"Carcasses and half-carcasses of swine, fresh or chilled",,0,
02031100100,80,5,"Whole carcasses (including the head, skin, ears, tail and feet, no entrails) of swine, weighing not more than 8 kg, fresh or chilled",KGM,1,
02031100903,80,5,"Other carcasses and half-carcasses of swine, fresh or chilled",KGM,1,
020312,80,3,"Hams, shoulders and cuts thereof, with bone in",,0,
02031200,80,4,"Hams, shoulders and cuts thereof, of swine, with bone in, fresh or chilled",,0,
02031200001,80,5,"Hams, shoulders and cuts thereof, of swine, with bone in, fresh or chilled",KGM,1,
020319,80,3,Other,,0,
02031911,80,4,"Belly(including spare ribs) of swine, boneless,  fresh or chilled",,0,
02031911001,80,5,"Belly(including spare ribs) of swine, boneless,  fresh or chilled",KGM,1,
02031919,80,4,"Other meat of swine, boneless, fresh or chilled",,0,
02031919003,80,5,"Other meat of swine, boneless, fresh or chilled",KGM,1,
02031991,80,4,"Belly (including spare ribs) of swine, with bone in, fresh or chilled",,0,
02031991004,80,5,"Belly (including spare ribs) of swine, with bone in, fresh or chilled",KGM,1,
02031999,80,4,"Other meat of swine, with bone in, fresh or chilled",,0,
02031999006,80,5,"Other meat of swine, with bone in, fresh or chilled",KGM,1,
02032,80,2,Frozen:,,0,
020321,80,3,Carcasses and half-carcasses,,0,
02032100,80,4,"Carcasses and half-carcasses of swine, frozen",,0,
02032100108,80,5,"Whole carcasses (including the head, skin, ears, tail and feet, no entrails) of swine, weighing not more than 8 kg, frozen",KGM,1,
02032100901,80,5,"Other carcasses and half-carcasses of swine, frozen",KGM,1,
020322,80,3,"Hams, shoulders and cuts thereof, with bone in",,0,
