countries,hts_code,condition
2050;2110;2150;2190;2230;2470,52062400,fta
2050;2110;2150;2190;2230;2470,52062500,fta
2050;2110;2150;2190;2230;2470,52063100,fta
2050;2110;2150;2190;2230;2470,52063200,fta
2050;2110;2150;2190;2230;2470,52063300,fta
2050;2110;2150;2190;2230;2470,52063400,fta
2050;2110;2150;2190;2230;2470,52063500,fta
2050;2110;2150;2190;2230;2470,52064100,fta
2050;2110;2150;2190;2230;2470,52064200,fta
2050;2110;2150;2190;2230;2470,52064300,fta
2050;2110;2150;2190;2230;2470,52064400,fta
2050;2110;2150;2190;2230;2470,52064500,fta
2050;2110;2150;2190;2230;2470,52071000,fta
2050;2110;2150;2190;2230;2470,52079000,fta
2050;2110;2150;2190;2230;2470,52081120,fta
2050;2110;2150;2190;2230;2470,52081140,fta
2050;2110;2150;2190;2230;2470,52081160,fta
2050;2110;2150;2190;2230;2470,52081180,fta
2050;2110;2150;2190;2230;2470,52081240,fta
2050;2110;2150;2190;2230;2470,52081260,fta
2050;2110;2150;2190;2230;2470,52081280,fta
2050;2110;2150;2190;2230;2470,52081300,fta
2050;2110;2150;2190;2230;2470,52081920,fta
2050;2110;2150;2190;2230;2470,52081940,fta
2050;2110;2150;2190;2230;2470,52081960,fta
2050;2110;2150;2190;2230;2470,52081980,fta
2050;2110;2150;2190;2230;2470,52082120,fta
2050;2110;2150;2190;2230;2470,52082140,fta
2050;2110;2150;2190;2230;2470,52082160,fta
2050;2110;2150;2190;2230;2470,52082240,fta
2050;2110;2150;2190;2230;2470,52082260,fta
2050;2110;2150;2190;2230;2470,52082280,fta
2050;2110;2150;2190;2230;2470,52082300,fta
2050;2110;2150;2190;2230;2470,52082920,fta
2050;2110;2150;2190;2230;2470,52082940,fta
2050;2110;2150;2190;2230;2470,52082960,fta
2050;2110;2150;2190;2230;2470,52082980,fta
2050;2110;2150;2190;2230;2470,52083120,fta
2050;2110;2150;2190;2230;2470,52083140,fta
2050;2110;2150;2190;2230;2470,52083160,fta
2050;2110;2150;2190;2230;2470,52083180,fta
2050;2110;2150;2190;2230;2470,52083210,fta
2050;2110;2150;2190;2230;2470,52083230,fta
2050;2110;2150;2190;2230;2470,52083240,fta
2050;2110;2150;2190;2230;2470,52083250,fta
2050;2110;2150;2190;2230;2470,52083300,fta
2050;2110;2150;2190;2230;2470,52083920,fta
2050;2110;2150;2190;2230;2470,52083940,fta
2050;2110;2150;2190;2230;2470,52083960,fta
2050;2110;2150;2190;2230;2470,52083980,fta
2050;2110;2150;2190;2230;2470,52084120,fta
2050;2110;2150;2190;2230;2470,52084140,fta
2050;2110;2150;2190;2230;2470,52084160,fta
2050;2110;2150;2190;2230;2470,52084180,fta
2050;2110;2150;2190;2230;2470,52084210,fta
2050;2110;2150;2190;2230;2470,52084230,fta
2050;2110;2150;2190;2230;2470,52084240,fta
2050;2110;2150;2190;2230;2470,52084250,fta
2050;2110;2150;2190;2230;2470,52084300,fta
2050;2110;2150;2190;2230;2470,52084920,fta
2050;2110;2150;2190;2230;2470,52084940,fta
2050;2110;2150;2190;2230;2470,52084960,fta
2050;2110;2150;2190;2230;2470,52084980,fta
2050;2110;2150;2190;2230;2470,52085120,fta
2050;2110;2150;2190;2230;2470,52085140,fta
2050;2110;2150;2190;2230;2470,52085160,fta
2050;2110;2150;2190;2230;2470,52085180,fta
2050;2110;2150;2190;2230;2470,52085210,fta
2050;2110;2150;2190;2230;2470,52085230,fta
2050;2110;2150;2190;2230;2470,52085240,fta
2050;2110;2150;2190;2230;2470,52085250,fta
