hts_prefix,ch99_code,derivative_type,effective_date
82119450,9903.81.91,steel,2025-08-18
82119510,9903.81.91,steel,2025-08-18
82119550,9903.81.91,steel,2025-08-18
82119590,9903.81.91,steel,2025-08-18
82151000,9903.81.91,steel,2025-08-18
82152000,9903.81.91,steel,2025-08-18
82159130,9903.81.91,steel,2025-08-18
82159160,9903.81.91,steel,2025-08-18
82159190,9903.81.91,steel,2025-08-18
82159901,9903.81.91,steel,2025-08-18
82159905,9903.81.91,steel,2025-08-18
82159910,9903.81.91,steel,2025-08-18
82159915,9903.81.91,steel,2025-08-18
82159920,9903.81.91,steel,2025-08-18
82159922,9903.81.91,steel,2025-08-18
82159924,9903.81.91,steel,2025-08-18
82159926,9903.81.91,steel,2025-08-18
82159930,9903.81.91,steel,2025-08-18
82159935,9903.81.91,steel,2025-08-18
82159940,9903.81.91,steel,2025-08-18
82159945,9903.81.91,steel,2025-08-18
82159950,9903.81.91,steel,2025-08-18
8302103000,9903.85.08,aluminum,2025-03-12
83021060,9903.85.08,aluminum,2025-03-12
83021060,9903.81.91,steel,2025-08-18
8302200000,9903.85.08,aluminum,2025-03-12
8302303010,9903.85.08,aluminum,2025-03-12
8302303060,9903.85.08,aluminum,2025-03-12
83024130,9903.85.08,aluminum,2025-03-12
83024130,9903.81.91,steel,2025-08-18
83024160,9903.85.08,aluminum,2025-03-12
83024160,9903.81.91,steel,2025-08-18
83024230,9903.85.08,aluminum,2025-03-12
83024230,9903.81.91,steel,2025-08-18
83024960,9903.85.08,aluminum,2025-03-12
83024960,9903.81.91,steel,2025-08-18
8302500000,9903.85.08,aluminum,2025-03-12
8302603000,9903.85.08,aluminum,2025-03-12
8302609000,9903.85.08,aluminum,2025-03-12
8305100050,9903.85.08,aluminum,2025-03-12
83052000,9903.81.91,steel,2025-08-18
8306300000,9903.85.08,aluminum,2025-03-12
83071060,9903.81.91,steel,2025-08-18
8307906000,9903.85.08,aluminum,2025-08-18
83099000,9903.85.08,aluminum,2025-08-18
8401400000,9903.81.91,steel,2025-08-18
84031000,9903.81.91,steel,2025-08-18
8406904000,9903.81.91,steel,2025-08-18
84072100,9903.81.91,steel,2025-08-18
84079010,9903.81.91,steel,2025-08-18
84079090,9903.81.91,steel,2025-08-18
84082010,9903.81.91,steel,2025-08-18
84082090,9903.81.91,steel,2025-08-18
84099150,9903.81.91,steel,2025-08-18
84099192,9903.81.91,steel,2025-08-18
84099199,9903.81.91,steel,2025-08-18
84099991,9903.81.91,steel,2025-08-18
84099992,9903.81.91,steel,2025-08-18
84099999,9903.81.91,steel,2025-08-18
8410900000,9903.81.91,steel,2025-08-18
84118180,9903.81.91,steel,2025-08-18
84122100,9903.81.91,steel,2025-08-18
84122980,9903.81.91,steel,2025-08-18
84129090,9903.85.08,aluminum,2025-08-18
84129090,9903.81.91,steel,2025-08-18
84138100,9903.81.91,steel,2025-08-18
8413919020,9903.81.91,steel,2026-07-01
8413919029,9903.81.91,steel,2026-07-01
8413919044,9903.81.91,steel,2026-07-01
8413919055,9903.81.91,steel,2025-08-18
8413919059,9903.81.91,steel,2026-07-01
8413919060,9903.81.91,steel,2025-08-18
8413919096,9903.81.91,steel,2025-08-18
8413919099,9903.81.91,steel,2026-07-01
84143040,9903.81.91,steel,2025-08-18
8414596590,9903.85.08,aluminum,2025-03-12
84148016,9903.85.08,aluminum,2025-08-18
84148016,9903.81.91,steel,2025-08-18
84149030,9903.81.91,steel,2025-08-18
84149041,9903.81.91,steel,2025-08-18
84151030,9903.81.91,steel,2025-08-18
84151060,9903.81.91,steel,2025-08-18
84151090,9903.81.91,steel,2025-08-18
84158101,9903.81.91,steel,2025-08-18
84158201,9903.81.91,steel,2025-08-18
84158300,9903.81.91,steel,2025-08-18
84159040,9903.81.91,steel,2025-08-18
84159080,9903.81.91,steel,2025-08-18
8415908010,9903.85.08,aluminum,2026-01-30
8415908020,9903.85.08,aluminum,2026-01-30
8415908025,9903.85.08,aluminum,2025-03-12
8415908045,9903.85.08,aluminum,2025-03-12
8415908085,9903.85.08,aluminum,2025-03-12
8417900000,9903.81.91,steel,2025-08-18
84181000,9903.85.08,aluminum,2025-08-18
84182100,9903.81.91,steel,2025-08-18
84182920,9903.81.91,steel,2025-08-18
84189940,9903.81.91,steel,2025-08-18
8418998005,9903.85.08,aluminum,2025-03-12
8418998050,9903.85.08,aluminum,2025-03-12
8418998060,9903.85.08,aluminum,2025-03-12
8419501000,9903.85.08,aluminum,2025-08-18
8419505000,9903.85.08,aluminum,2025-03-12
84198150,9903.81.91,steel,2025-08-18
8419901000,9903.85.08,aluminum,2025-03-12
84212900,9903.81.91,steel,2025-08-18
8422900640,9903.85.08,aluminum,2025-03-12
8424100000,9903.81.91,steel,2025-08-18
84248990,9903.85.08,aluminum,2025-08-18
84248990,9903.81.91,steel,2025-08-18
8424909080,9903.85.08,aluminum,2025-03-12
84254200,9903.81.91,steel,2025-08-18
84262000,9903.81.91,steel,2025-08-18
84269900,9903.81.91,steel,2025-08-18
84271040,9903.81.91,steel,2025-08-18
84271080,9903.81.91,steel,2025-08-18
84272040,9903.81.91,steel,2025-08-18
84272080,9903.81.91,steel,2025-08-18
84279000,9903.81.91,steel,2025-08-18
84283200,9903.81.91,steel,2025-08-18
84283300,9903.81.91,steel,2025-08-18
84283900,9903.81.91,steel,2025-08-18
84286000,9903.81.91,steel,2025-08-18
84287000,9903.81.91,steel,2025-08-18
84289003,9903.81.91,steel,2025-08-18
84291100,9903.81.91,steel,2025-08-18
84291900,9903.81.91,steel,2025-08-18
84292000,9903.81.91,steel,2025-08-18
84293000,9903.81.91,steel,2025-08-18
84294000,9903.81.91,steel,2025-08-18
84295110,9903.81.91,steel,2025-08-18
84295150,9903.81.91,steel,2025-08-18
84295210,9903.81.91,steel,2025-08-18
84295250,9903.81.91,steel,2025-08-18
84295910,9903.81.91,steel,2025-08-18
84295950,9903.81.91,steel,2025-08-18
84312000,9903.81.91,steel,2025-08-18
84313100,9903.81.91,steel,2025-03-12
84313900,9903.81.91,steel,2025-08-18
