prefix,first_revision,last_revision,first_effective_date,removed_at,end_effective_date
09052000,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
09061100,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
09061900,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
09062000,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
09071000,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
09072000,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
09081100,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
09081200,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
09082100,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
09082220,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
09082240,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
09083100,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
09083200,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
09092100,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
09092200,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
09093100,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
09093200,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
09096100,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
09096200,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
09101100,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
09101200,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
09102000,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
09103000,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
09109100,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
09109907,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
09109910,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
09109920,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
09109940,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
09109950,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
09109960,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
10039040,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
10083000,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
10084000,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
10086000,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
11062090,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
11063020,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
11081400,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
11081900,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
12030000,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
12079100,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
15131100,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
15131900,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
15211000,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
15219020,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
16025005,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
16025007,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
16025008,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
16025021,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
16025060,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
16025090,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
18010000,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
18020000,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
18031000,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
18032000,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
18040000,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
18050000,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
19030020,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
19030040,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
20019045,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
20059160,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
20060040,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
20079940,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
20079950,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
20081915,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
20082000,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
20089100,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
20089913,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
20089915,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
20089940,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
20089945,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
20089991,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
20091100,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
20091225,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
20091245,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
20091900,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
20093920,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
20094940,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
21011129,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
21011290,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
21012020,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
21069048,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
22029930,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
22029935,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
25041010,2025_rev_22,2026_rev_10,2025-09-08,NA,NA
25041050,2025_rev_7,2026_rev_10,NA,NA,NA
25049000,2025_rev_7,2026_rev_10,NA,NA,NA
25101000,2025_rev_7,2026_rev_10,NA,NA,NA
25102000,2025_rev_7,2026_rev_10,NA,NA,NA
25111010,2025_rev_7,2026_rev_10,NA,NA,NA
25111050,2025_rev_7,2026_rev_10,NA,NA,NA
25191000,2025_rev_7,2026_rev_10,NA,NA,NA
25199010,2025_rev_7,2026_rev_10,NA,NA,NA
25199020,2025_rev_7,2026_rev_10,NA,NA,NA
25249000,2025_rev_7,2026_rev_10,NA,NA,NA
25292100,2025_rev_7,2026_rev_10,NA,NA,NA
25292200,2025_rev_7,2026_rev_10,NA,NA,NA
25302010,2025_rev_7,2026_rev_10,NA,NA,NA
25302020,2025_rev_7,2026_rev_10,NA,NA,NA
25309010,2025_rev_7,2026_rev_10,NA,NA,NA
25309020,2025_rev_7,2026_rev_10,NA,NA,NA
25309080,2025_rev_7,2026_rev_10,NA,NA,NA
26020000,2025_rev_7,2026_rev_10,NA,NA,NA
26030000,2025_rev_7,2026_rev_10,NA,NA,NA
