hts8,program,ch99_heading
44079902,motor_vehicles,9903.03.14
44081001,motor_vehicles,9903.03.14
44091040,motor_vehicles,9903.03.14
44091050,motor_vehicles,9903.03.14
44091090,motor_vehicles,9903.03.14
44092991,motor_vehicles,9903.03.14
44101900,motor_vehicles,9903.03.14
44111320,motor_vehicles,9903.03.14
44111390,motor_vehicles,9903.03.14
44111420,motor_vehicles,9903.03.14
44111430,motor_vehicles,9903.03.14
44111490,motor_vehicles,9903.03.14
44121005,motor_vehicles,9903.03.14
44121090,motor_vehicles,9903.03.14
44123106,motor_vehicles,9903.03.14
44123126,motor_vehicles,9903.03.14
44123142,motor_vehicles,9903.03.14
44123145,motor_vehicles,9903.03.14
44123148,motor_vehicles,9903.03.14
44123152,motor_vehicles,9903.03.14
44123161,motor_vehicles,9903.03.14
44123192,motor_vehicles,9903.03.14
44123306,motor_vehicles,9903.03.14
44123326,motor_vehicles,9903.03.14
44123332,motor_vehicles,9903.03.14
44123357,motor_vehicles,9903.03.14
44123426,motor_vehicles,9903.03.14
44123432,motor_vehicles,9903.03.14
44123457,motor_vehicles,9903.03.14
44123910,motor_vehicles,9903.03.14
44123930,motor_vehicles,9903.03.14
44123940,motor_vehicles,9903.03.14
44123950,motor_vehicles,9903.03.14
44124100,motor_vehicles,9903.03.14
44124200,motor_vehicles,9903.03.14
44124900,motor_vehicles,9903.03.14
44125110,motor_vehicles,9903.03.14
44125131,motor_vehicles,9903.03.14
44125210,motor_vehicles,9903.03.14
44125231,motor_vehicles,9903.03.14
44125251,motor_vehicles,9903.03.14
44129106,motor_vehicles,9903.03.14
44129131,motor_vehicles,9903.03.14
44129141,motor_vehicles,9903.03.14
44129151,motor_vehicles,9903.03.14
44129207,motor_vehicles,9903.03.14
44129211,motor_vehicles,9903.03.14
44129231,motor_vehicles,9903.03.14
44129242,motor_vehicles,9903.03.14
44129252,motor_vehicles,9903.03.14
44129958,motor_vehicles,9903.03.14
44129961,motor_vehicles,9903.03.14
44129981,motor_vehicles,9903.03.14
44129991,motor_vehicles,9903.03.14
44129997,motor_vehicles,9903.03.14
44149000,motor_vehicles,9903.03.14
44182180,motor_vehicles,9903.03.14
44182980,motor_vehicles,9903.03.14
44201900,motor_vehicles,9903.03.14
44219970,motor_vehicles,9903.03.14
44219994,motor_vehicles,9903.03.14
44219998,motor_vehicles,9903.03.14
47020000,motor_vehicles,9903.03.14
48025510,motor_vehicles,9903.03.14
48030040,motor_vehicles,9903.03.14
48102910,motor_vehicles,9903.03.14
48109212,motor_vehicles,9903.03.14
48115120,motor_vehicles,9903.03.14
48115140,motor_vehicles,9903.03.14
48131000,motor_vehicles,9903.03.14
48142000,motor_vehicles,9903.03.14
48171000,motor_vehicles,9903.03.14
48183000,motor_vehicles,9903.03.14
48189000,motor_vehicles,9903.03.14
48191000,motor_vehicles,9903.03.14
48194000,motor_vehicles,9903.03.14
48195040,motor_vehicles,9903.03.14
48201020,motor_vehicles,9903.03.14
48203000,motor_vehicles,9903.03.14
48219040,motor_vehicles,9903.03.14
48236900,motor_vehicles,9903.03.14
48237000,motor_vehicles,9903.03.14
48239010,motor_vehicles,9903.03.14
48239067,motor_vehicles,9903.03.14
48239086,motor_vehicles,9903.03.14
49089000,motor_vehicles,9903.03.14
49119140,motor_vehicles,9903.03.14
50020000,motor_vehicles,9903.03.14
50030090,motor_vehicles,9903.03.14
51011160,motor_vehicles,9903.03.14
51032000,motor_vehicles,9903.03.14
