hts_code,condition
29333941,pharma
29333961,pharma
29333992,pharma
29334100,pharma
29334908,pharma
29334910,pharma
29334915,pharma
29334917,pharma
29334920,pharma
29334926,pharma
29334930,pharma
29334960,pharma
29334970,pharma
29335210,pharma
29335290,pharma
29335300,pharma
29335400,pharma
29335500,pharma
29335910,pharma
29335915,pharma
29335918,pharma
29335921,pharma
29335922,pharma
29335936,pharma
29335946,pharma
29335953,pharma
29335959,pharma
29335970,pharma
29335980,pharma
29335985,pharma
29335995,pharma
29336950,pharma
29336960,pharma
29337200,pharma
29337904,pharma
29337908,pharma
29337915,pharma
29337920,pharma
29337930,pharma
29337940,pharma
29337985,pharma
29339100,pharma
29339901,pharma
29339902,pharma
29339905,pharma
29339906,pharma
29339908,pharma
29339911,pharma
29339912,pharma
29339914,pharma
29339916,pharma
29339917,pharma
29339922,pharma
29339924,pharma
29339926,pharma
29339942,pharma
29339946,pharma
29339951,pharma
29339953,pharma
29339955,pharma
29339958,pharma
29339961,pharma
29339965,pharma
29339970,pharma
29339975,pharma
29339979,pharma
29339982,pharma
29339985,pharma
29339989,pharma
29339990,pharma
29339997,pharma
29341010,pharma
29341020,pharma
29341070,pharma
29341090,pharma
29342040,pharma
29342080,pharma
29343018,pharma
29343023,pharma
29343027,pharma
29343043,pharma
29343050,pharma
29349100,pharma
29349200,pharma
29349901,pharma
29349903,pharma
29349905,pharma
29349906,pharma
29349907,pharma
29349908,pharma
29349909,pharma
29349911,pharma
29349912,pharma
29349915,pharma
29349916,pharma
29349918,pharma
29349920,pharma
29349930,pharma
29349939,pharma
29349944,pharma
29349947,pharma
29349970,pharma
29349990,pharma
29355000,pharma
29359006,pharma
29359010,pharma
29359013,pharma
29359015,pharma
29359020,pharma
29359029,pharma
29359030,pharma
29359032,pharma
29359033,pharma
29359042,pharma
29359048,pharma
29359060,pharma
29359075,pharma
29359095,pharma
29362100,full
29362200,full
29362300,full
29362401,full
29362500,full
29362600,full
29362700,full
29362800,full
29362910,full
29362916,full
29362920,full
29362950,full
29369001,full
29371100,full
29371200,full
29371900,full
29372100,full
29372200,full
29372310,full
29372325,full
29372350,full
29372910,full
29372990,full
29375000,full
29379005,full
29379010,full
29379020,full
29379040,full
29379045,full
29379090,full
29381000,pharma
29389000,pharma
29391100,full
29391910,full
29391920,full
29391950,full
29392000,full
29393000,full
29394100,full
29394200,full
29394300,pharma
29394400,full
29394500,full
29394903,full
29395100,pharma
29395900,full
29396100,pharma
29396200,full
29396300,full
29396900,full
29397200,full
29397900,full
29398000,pharma
29400060,pharma
29411010,full
29411020,full
29411030,full
29411050,full
29412010,full
29412050,full
29413000,full
29414000,full
29415000,full
29419010,full
29419030,full
29419050,full
29420003,pharma
29420005,pharma
29420010,pharma
29420035,pharma
29420050,pharma
30012000,full
30019001,full
30021200,full
30021300,full
30021400,full
30021500,full
30024100,full
30024200,full
30024900,full
30025100,full
30025900,full
30029010,full
30029052,full
30031000,full
30032000,full
30033100,pharma
30033910,full
30033950,full
30034100,full
30034200,full
30034300,pharma
30034900,full
30036000,pharma
30039001,full
30041010,full
30041050,full
30042000,full
30043100,full
30043200,full
30043900,full
30044100,full
30044200,full
30044300,pharma
30044900,full
30045010,full
30045020,full
30045030,full
30045040,full
30045050,full
30046000,full
30049010,full
30049092,full
30063010,full
30063050,full
30066000,full
30067000,pharma
30069200,pharma
30069310,full
30069320,full
30069350,full
30069360,full
30069380,pharma
31010000,full
31021000,full
31022100,full
31022900,full
31023000,full
31024000,full
31025000,full
31026000,full
31028000,full
31029001,full
31031100,full
31031900,full
31039001,full
31042000,full
31043000,full
31049001,full
31051000,full
31052000,full
31053000,full
31054000,full
31055100,full
31055900,full
31056000,full
31059000,full
32030080,pharma
32041360,pharma
32041380,pharma
32041720,full
32041800,pharma
32049000,pharma
32061100,full
32061900,full
33012951,ex
34013010,pharma
34024210,pharma
34024220,pharma
34024290,pharma
34025011,pharma
35079070,pharma
36069030,full
38021000,pharma
38085940,pharma
38085950,pharma
38086150,pharma
38089410,pharma
38089450,pharma
38123100,pharma
38151100,pharma
38151200,pharma
38159050,pharma
38180000,full
38248100,pharma
38248210,pharma
38248290,pharma
38248300,pharma
38248400,pharma
38248500,pharma
38248600,pharma
38248700,pharma
38248800,pharma
38248900,pharma
38249100,pharma
38249200,pharma
38249925,pharma
38249929,pharma
38249949,pharma
38249950,pharma
38249955,pharma
38249993,pharma
38260030,pharma
38271300,pharma
38271400,pharma
38274000,pharma
39019090,pharma
39029000,pharma
39046100,pharma
39059110,pharma
39059150,pharma
39059980,pharma
39069050,pharma
39071000,pharma
39072100,pharma
39072900,pharma
39073000,pharma
39076100,pharma
39076900,pharma
39077000,pharma
39079950,pharma
39081000,pharma
39089020,pharma
39091000,pharma
39094000,pharma
39100000,pharma
39112000,pharma
39119025,pharma
39119045,pharma
39119091,pharma
39122000,pharma
39123100,pharma
39123900,pharma
39129000,pharma
39139020,pharma
39139050,pharma
39140020,pharma
39140060,pharma
39172100,aircraft
39172200,aircraft
39172300,aircraft
39172900,aircraft
39173100,aircraft
39173300,aircraft
39173900,aircraft
39174000,aircraft
39269045,aircraft
39269094,aircraft
39269096,aircraft
39269099,aircraft
40011000,full
40012100,full
40012200,full
40012900,full
40013000,full
40082920,aircraft
40091200,aircraft
40092200,aircraft
40093200,aircraft
40094200,aircraft
40113000,aircraft
40121300,aircraft
