GOODS_CODE,SUFFIX,INDENT,DESCRIPTION,UNIT,IS_LEAF,START_DATE
84834090,80,3,기타,,0,
8483409010,80,4,기어,U,1,2002-01-01
8483409020,80,4,기어박스,U,1,2002-01-01
8483409030,80,4,무단변속기,U,1,2022-01-01
8483409040,80,4,롤러 스크루,U,1,2022-01-01
8483409050,80,4,볼 스크루,U,1,2022-01-01
8483409090,80,4,기타,U,1,2002-01-01
848350,80,2,플라이휠(flywheel)과 풀리(pulley)[풀리블록(pulley block)을 포함한다],,0,
8483501000,80,3,항공기용,U,1,2013-01-01
8483509000,80,3,기타,U,1,2002-01-01
848360,80,2,클러치(clutch)와 샤프트커플링(shaft coupling)[유니버설조인트(universal joint)를 포함한다],,0,
8483601000,80,3,항공기용,U,1,2013-01-01
8483602000,80,3,풍력발전기용,U,1,2013-01-01
8483609000,80,3,기타,U,1,2002-01-01
848390,80,2,"날이 붙은 휠, 체인스프로켓(chain sprocket), 분리되어 제시된 그 밖의 전동(transmission)용 엘리먼트와 부분품",,0,
8483901000,80,3,항공기용,,1,2013-01-01
8483902000,80,3,풍력발전기용,,1,2013-01-01
8483909000,80,3,기타,,1,2002-01-01
8484,80,1,"개스킷(gasket)과 이와 유사한 조인트(금속 외의 재료와 결합한 금속판으로 만든 것이나 금속을 두 개 이상 적층한 것으로 한정한다), 재질이 다른 것을 세트로 하거나 소포장한 개스킷(gasket)과 이와 유사한 조인트(작은 주머니와 봉투에 넣은 것이나 이와 유사한 포장을 한 것으로 한정한다), 메커니컬 실(mechanical seal)",,0,
848410,80,2,개스킷(gasket)과 이와 유사한 조인트(금속 외의 재료와 결합한 금속판으로 만든 것이나 금속을 두 개 이상 적층한 것으로 한정한다),,0,
8484101000,80,3,제87류 차량용,,1,2013-01-01
8484109000,80,3,기타,,1,2002-01-01
8484200000,80,2,메커니컬 실(mechanical seal),,1,2013-01-01
8484900000,80,2,기타,,1,2002-01-01
8485,80,1,적층제조기계,,0,
8485100000,80,2,금속용,,1,2022-01-01
848520,80,2,플라스틱ㆍ고무용,,0,
8485201000,80,3,데스크탑 형태의 재료압출방식,,1,2022-01-01
8485209000,80,3,기타,,1,2022-01-01
8485300000,80,2,플라스터ㆍ시멘트ㆍ세라믹ㆍ유리용,,1,2022-01-01
8485800000,80,2,기타,,1,2022-01-01
8485900000,80,2,부분품,,1,2022-01-01
8486,80,1,"반도체 보울(boule)이나 웨이퍼(wafer)ㆍ반도체 디바이스ㆍ전자집적회로ㆍ평판디스플레이의 제조에 전용되거나 주로 사용되는 기계와 기기, 이 류의 주 제11호다목에서 특정한 기계와 기기, 그 부분품과 부속품",,0,
848610,80,2,보울(boule)이나 웨이퍼(wafer) 제조용 기계와 기기,,0,
8486101000,80,3,스핀 드라이어(원심분리방식으로 한정한다),U,1,2013-01-01
8486102000,80,3,단결정 보울(boule)을 성장시키는 기계,U,1,2013-01-01
84861030,80,3,보울(boule)이나 웨이퍼(wafer)의 가공용 공작기계,,0,
8486103010,80,4,단결정 보울(boule)을 얇게 절단하는 기기,U,1,2022-01-14
8486103020,80,4,웨이퍼 가공용의 연마기ㆍ광택기(래핑기를 포함한다),U,1,2013-01-01
8486103090,80,4,기타,U,1,2007-01-01
84861040,80,3,각종 재료의 가공공작기계(레이저나 그 밖의 광선ㆍ광자빔ㆍ전기화학ㆍ전자빔ㆍ이온빔ㆍ플라즈마아크 방식에 의하여 재료의 일부를 제거하여 가공하는 것으로 한정한다),,0,
8486104010,80,4,레이저나 그 밖의 광선ㆍ광자빔 방식에 의한 것,U,1,2022-01-14
8486104020,80,4,전기화학ㆍ전자빔ㆍ이온빔이나 플라즈마아크방식에 의한 것,U,1,2022-01-14
84861050,80,3,전기식 노(爐)와 오븐(전자유도식ㆍ유전식을 포함한다),,0,
8486105010,80,4,저항가열식의 노(爐)와 오븐,U,1,2013-01-01
8486105030,80,4,그 밖의 노(爐)와 오븐,U,1,2013-01-01
8486109000,80,3,기타,U,1,2007-01-01
848620,80,2,반도체 디바이스나 전자집적회로 제조용 기계와 기기,,0,
8486201000,80,3,스핀 드라이어(원심분리방식으로 한정한다),U,1,2013-01-01
8486202,80,3,전기식 노(爐)와 오븐(전자유도식ㆍ유전식을 포함한다),,0,
8486202100,80,4,저항가열식의 노(爐)와 오븐,U,1,2013-01-01
8486202200,80,4,전자유도식ㆍ유전식 노(爐)와 오븐,U,1,2022-01-01
8486202300,80,4,그 밖의 노(爐)와 오븐,U,1,2022-01-01
8486203000,80,3,반도체재료 도핑용 이온주입기,U,1,2007-01-01
8486204000,80,3,반도체웨이퍼 위에 막을 형성하거나 금속을 증착하는 기계,U,1,2017-01-01
8486205000,80,3,굽힘용ㆍ접음용ㆍ교정용ㆍ펼침용 금속가공 공작기계(프레스를 포함한다),U,1,2022-01-01
84862060,80,3,감광성 반도체 재료에 회로모형을 투영하거나 드로잉하는 기기,,0,
8486206010,80,4,반도체웨이퍼 위에 직접 그리는 기기,U,1,2013-01-01
8486206020,80,4,스텝 앤 리피트 얼라이너,U,1,2007-01-01
848620609,80,4,기타,,0,
8486206091,80,5,레이저 작동식 기기,U,1,2014-01-01
8486206099,80,5,기타,U,1,2014-01-01
8486207000,80,3,"반도체 웨이퍼를 습식 식각, 현상, 스트리핑하거나 세척하는 기계",U,1,2013-01-01
8486208,80,3,각종 재료의 가공공작기계(레이저나 그 밖의 광선ㆍ광자빔ㆍ전기화학ㆍ전자빔ㆍ이온빔ㆍ플라즈마아크 방식에 의하여 재료의 일부를 제거하여 가공하는 것으로 한정한다),,0,
8486208100,80,4,레이저나 그 밖의 광선ㆍ광자빔 방식에 의한 것,U,1,2022-01-01
84862084,80,4,전기화학ㆍ전자빔ㆍ이온빔이나 플라즈마아크방식에 의한 것,,0,
8486208410,80,5,반도체재료의 건식식각 패턴용의 것,U,1,2009-01-01
8486208420,80,5,반도체웨이퍼를 스트리핑하거나 세척하는 기기,U,1,2013-01-01
8486208490,80,5,기타,U,1,2009-01-01
8486209,80,3,기타,,0,
8486209100,80,4,액체나 분말의 분사용ㆍ살포용ㆍ분무용 기기,U,1,2022-01-01
8486209200,80,4,포토레지스트를 도포ㆍ현상ㆍ경화시키는 기계,U,1,2013-01-01
84862093,80,4,광물성 물질의 가공용 공작기계,,0,
8486209310,80,5,반도체 웨이퍼가공용의 연마기ㆍ광택기(래핑기를 포함한다),U,1,2013-01-01
8486209320,80,5,반도체 웨이퍼의 스크라이빙ㆍ스코어링을 위한 다이싱기,U,1,2022-01-01
8486209390,80,5,기타,U,1,2007-01-01
8486209400,80,4,웨이퍼ㆍ캐리어ㆍ튜브를 세척하는 기계,U,1,2013-01-01
8486209500,80,4,반도체웨이퍼 위에 테이프를 부착시키는 기계,U,1,2013-01-01
8486209600,80,4,반도체웨이퍼를 개별 칩으로 절단하는 기기,U,1,2012-01-01
8486209900,80,4,기타,U,1,2007-01-01
848630,80,2,평판디스플레이 제조용 기계와 기기,,0,
84863010,80,3,유기발광다이오드(오엘이디) 디스플레이 제조용,,0,
8486301010,80,4,연마기ㆍ광택기,U,1,2022-01-01
8486301020,80,4,도포 또는 현상기,U,1,2022-01-01
848630103,80,4,증착기,,0,
8486301031,80,5,물리적 방식의 것,U,1,2022-01-01
8486301032,80,5,화학적 방식의 것,U,1,2022-01-01
8486301040,80,4,감광성 평판디스플레이용 기판에 회로모형을 투영하거나 드로잉하는 기기,U,1,2022-01-01
8486301050,80,4,식각기,U,1,2022-01-01
8486301060,80,4,스트리핑하거나 세척하는 기기,U,1,2022-01-01
8486301090,80,4,기타,U,1,2022-01-01
84863020,80,3,기타,,0,
8486302010,80,4,연마기ㆍ광택기,U,1,2022-01-01
8486302020,80,4,도포 또는 현상기,U,1,2022-01-01
848630203,80,4,증착기,,0,
8486302031,80,5,물리적 방식의 것,U,1,2022-01-01
8486302032,80,5,화학적 방식의 것,U,1,2022-01-01
8486302040,80,4,감광성 평판디스플레이용기판에 회로모형을 투영하거나 드로잉하는 기기,U,1,2022-01-01
8486302050,80,4,식각기,U,1,2022-01-01
8486302060,80,4,스트리핑하거나 세척하는 기기,U,1,2022-01-01
8486302070,80,4,액정 공정용 기기,U,1,2022-01-01
8486302090,80,4,기타,U,1,2022-01-01
848640,80,2,이 류의 주 제11호다목에서 특정한 기계와 기기,,0,
84864010,80,3,마스크와 레티클의 제조용ㆍ수리용 기계와 기기,,0,
