GOODS_CODE,SUFFIX,INDENT,DESCRIPTION,IS_LEAF,START_DATE
0201203092,20,5,"Quartiers avant séparés ayant un poids égal ou supérieur à 45 kg et inférieur ou égal à 75 kg, présentant un faible degré d'ossification des cartilages (notamment de ceux des apophyses vertébrales), dont la viande est de couleur rose clair et la graisse, de structure extrêmement fine, de couleur blanche à jaune clair",,21-09-2017
0201203092,80,6,de bison,1,21-09-2017
0201203094,80,6,autres,1,21-09-2017
0201203097,10,5,autres,,21-09-2017
0201203097,80,6,de bison,1,21-09-2017
0201203098,80,6,autres,1,21-09-2017
0201205000,80,3,Quartiers arrière attenants ou séparés,0,01-01-1993
0201205021,10,4,Viandes bovines de haute qualité,,21-09-2017
0201205021,80,5,de bison,1,21-09-2017
0201205029,80,5,autres,1,21-09-2017
0201205092,10,4,autres,,21-09-2017
0201205092,20,5,"Quartiers arrière séparés ayant un poids égal ou supérieur à 45 kg et inférieur ou égal à 75 kg, ce poids étant égal ou supérieur à 38 kg et inférieur ou égal à 68 kg lorsqu'il s'agit de la coupe dite ""pistola"", présentant un faible degré d'ossification des cartilages (notamment ceux des apophyses vertébrales), dont la viande est de couleur rose clair et la graisse, de structure extrêmement fine, de couleur blanche à jaune clair",,21-09-2017
0201205092,80,6,de bison,1,21-09-2017
0201205094,80,6,autres,1,21-09-2017
0201205097,10,5,autres,,21-09-2017
0201205097,80,6,de bison,1,21-09-2017
0201205098,80,6,autres,1,21-09-2017
0201209000,80,3,autres,0,01-01-1972
0201209011,10,4,Viandes bovines de haute qualité,,21-09-2017
0201209011,80,5,de bison,1,21-09-2017
0201209015,80,5,autres,1,21-09-2017
0201209091,10,4,autres,,21-09-2017
0201209091,80,5,de bison,1,21-09-2017
0201209099,80,5,autres,1,21-09-2017
0201300000,80,2,désossées,0,01-01-1972
0201300031,10,3,de haute qualité,,21-09-2017
0201300031,80,4,de bison,1,21-09-2017
0201300039,80,4,autres,1,21-09-2017
0201300041,10,3,autres,,21-09-2017
0201300041,20,4,Viandes de buffle,,21-09-2017
0201300041,80,5,de bison,1,21-09-2017
0201300049,80,5,autres,1,21-09-2017
0201300090,80,4,autres,1,01-01-1972
0202000000,80,1,"Viandes des animaux de l'espèce bovine, congelées",0,01-01-1972
0202100000,80,2,en carcasses ou demi-carcasses,0,01-01-1972
0202100011,10,3,Viandes bovines de haute qualité,,21-09-2017
0202100011,80,4,de bison,1,21-09-2017
0202100015,80,4,autres,1,21-09-2017
0202100091,10,3,autres,,21-09-2017
0202100091,80,4,de bison,1,21-09-2017
0202100099,80,4,autres,1,21-09-2017
0202200000,80,2,autres morceaux non désossés,0,01-01-1972
0202201000,80,3,"Quartiers dits ""compensés""",0,01-01-1972
0202201011,10,4,Viandes bovines de haute qualité,,21-09-2017
0202201011,80,5,de bison,1,21-09-2017
0202201015,80,5,autres,1,21-09-2017
0202201091,10,4,autres,,21-09-2017
0202201091,80,5,de bison,1,21-09-2017
0202201099,80,5,autres,1,21-09-2017
0202203000,80,3,Quartiers avant attenants ou séparés,0,01-01-1972
0202203011,10,4,Viandes bovines de haute qualité,,21-09-2017
0202203011,80,5,de bison,1,21-09-2017
0202203015,80,5,autres,1,21-09-2017
0202203081,10,4,autres,,21-09-2017
0202203081,20,5,destinées à la transformation,,21-09-2017
0202203081,30,6,"destinée à la fabrication de produits relevant des sous-positions NC 1602 10, 1602 50 31 ou 1602 50 95, ne contenant pas d'autre viande que celle d'animaux de l'espèce bovine, présentant un rapport collagène/protéines ne dépassant pas 0,45 et contenant au moins 20% de viande maigre en poids (à l'exclusion des abats et des matières grasses), la viande et la gelée comptant pour 85% au moins du poids total net; ces produits sont soumis à un traitement thermique suffisant pour garantir la coagulation des protéines de la viande dans l'ensemble du produit, qui ne présente donc pas de trace de liquide rosâtre sur sa face de découpage dans les cas où il est découpé le long d'une ligne passant par sa partie la plus épaisse (produits A)",,21-09-2017
0202203081,80,7,de bison,1,21-09-2017
0202203082,80,7,autres,1,21-09-2017
0202203083,10,6,"destinée à la fabrication de produits autres que ceux relevant des sous-positions ex 0210 20, 0210 99 51, 0210 99 90, 1602 50 10 et 1602 90 61 (produits B)",,21-09-2017
0202203083,80,7,de bison,1,21-09-2017
0202203084,80,7,autres,1,21-09-2017
0202203085,10,6,autres,,21-09-2017
0202203085,80,7,de bison,1,21-09-2017
0202203086,80,7,autres,1,21-09-2017
0202203087,10,5,autres,,21-09-2017
0202203087,80,6,de bison,1,21-09-2017
0202203088,80,6,autres,1,21-09-2017
0202205000,80,3,Quartiers arrière attenants ou séparés,0,01-01-1972
0202205011,10,4,Viandes bovines de haute qualité,,21-09-2017
0202205011,80,5,de bison,1,21-09-2017
0202205015,80,5,autres,1,21-09-2017
0202205091,10,4,autres,,21-09-2017
0202205091,80,5,de bison,1,21-09-2017
0202205099,80,5,autres,1,21-09-2017
0202209000,80,3,autres,0,01-01-1972
0202209011,10,4,Viandes bovines de haute qualité,,21-09-2017
0202209011,80,5,de bison,1,21-09-2017
0202209015,80,5,autres,1,21-09-2017
0202209091,10,4,autres,,21-09-2017
0202209091,80,5,de bison,1,21-09-2017
0202209099,80,5,autres,1,21-09-2017
0202300000,80,2,désossées,0,01-01-1972
0202301000,80,3,"Quartiers avant, entiers ou découpés en cinq morceaux au maximum, chaque quartier avant étant présenté en un seul bloc de congélation; quartiers dits ""compensés"" présentés en deux blocs de congélation contenant, l'un, le quartier avant entier ou découpé en cinq morceaux au maximum, et l'autre, le quartier arrière, à l'exclusion du filet, en un seul morceau",0,01-01-1972
0202301011,10,4,Viandes bovines de haute qualité,,21-09-2017
0202301011,80,5,de bison,1,21-09-2017
0202301015,80,5,autres,1,21-09-2017
0202301081,10,4,autres,,21-09-2017
0202301081,20,5,destinées à la transformation,,21-09-2017
0202301081,30,6,"destinées à la fabrication de produits relevant des sous-positions 1602 10, 1602 50 31 ou 1602 50 95, ne contenant pas d'autre viande que celle d'animaux de l'espèce bovine, présentant un rapport collagène/protéines ne dépassant pas 0,45 et contenant au moins 20% de viande maigre en poids (à l'exclusion des abats et des matières grasses), la viande et la gelée comptant pour 85% au moins du poids total net; ces produits sont soumis à un traitement thermique suffisant pour garantir la coagulation des protéines de la viande dans l'ensemble du produit, qui ne présente donc pas de trace de liquide rosâtre sur sa face de découpage dans les cas où il est découpé le long d'une ligne passant par sa partie la plus épaisse (produits A)",,21-09-2017
0202301081,80,7,de bison,1,21-09-2017
0202301082,80,7,autres,1,21-09-2017
0202301083,10,6,"destinées à la fabrication de produits autres que ceux relevant des sous-positions ex 0210 20, 0210 99 51, 0210 99 90, 1602 50 10 et 1602 90 61 (produits B)",,21-09-2017
0202301083,80,7,de bison,1,21-09-2017
0202301084,80,7,autres,1,21-09-2017
0202301085,10,6,autres,,21-09-2017
0202301085,80,7,de bison,1,21-09-2017
0202301086,80,7,autres,1,21-09-2017
0202301087,10,5,autres,,21-09-2017
0202301087,80,6,de bison,1,21-09-2017
0202301088,80,6,autres,1,21-09-2017
0202305000,80,3,"Découpes de quartiers avant et de poitrines dites ""australiennes""",0,01-01-1972
0202305011,10,4,Viandes bovines de haute qualité,,21-09-2017
0202305011,80,5,de bison,1,21-09-2017
0202305015,80,5,autres,1,21-09-2017
0202305081,10,4,autres,,21-09-2017
0202305081,20,5,destinées à la transformation,,21-09-2017
0202305081,30,6,"destinées à la fabrication de produits relevant des sous-positions 1602 10, 1602 50 31 ou 1602 50 95, ne contenant pas d'autre viande que celle d'animaux de l'espèce bovine, présentant un rapport collagène/protéines ne dépassant pas 0,45 et contenant au moins 20% de viande maigre en poids (à l'exclusion des abats et des matières grasses), la viande et la gelée comptant pour 85% au moins du poids total net; ces produits sont soumis à un traitement thermique suffisant pour garantir la coagulation des protéines de la viande dans l'ensemble du produit, qui ne présente donc pas de trace de liquide rosâtre sur sa face de découpage dans les cas où il est découpé le long d'une ligne passant par sa partie la plus épaisse (produits A)",,21-09-2017
0202305081,80,7,de bison,1,21-09-2017
0202305082,80,7,autres,1,21-09-2017
0202305083,10,6,"destinées à la fabrication de produits autres que ceux relevant des sous-positions ex 0210 20, 0210 99 51, 0210 99 90, 1602 50 10 et 1602 90 61 (produits B)",,21-09-2017
0202305083,80,7,de bison,1,21-09-2017
0202305084,80,7,autres,1,21-09-2017
0202305085,10,6,autres,,21-09-2017
0202305085,80,7,de bison,1,21-09-2017
0202305086,80,7,autres,1,21-09-2017
0202305087,10,5,autres,,21-09-2017
0202305087,80,6,de bison,1,21-09-2017
0202305088,80,6,autres,1,21-09-2017
0202309000,80,3,autres,0,01-01-1972
0202309011,10,4,de haute qualité,,21-09-2017
0202309011,80,5,de bison,1,21-09-2017
0202309015,80,5,autres,1,21-09-2017
0202309041,10,4,autres,,21-09-2017
0202309041,20,5,Viandes de buffle congelées,,21-09-2017
0202309041,30,6,destinées à la transformation,,21-09-2017
0202309041,40,7,"destinées à la fabrication de produits relevant sous-positions 1602 10, 1602 50 31 ou 1602 50 95, ne contenant pas d'autre viande que celle d'animaux de l'espèce bovine, présentant un rapport collagène/protéines ne dépassant pas 0,45 et contenant au moins 20% de viande maigre en poids (à l'exclusion des abats et des matières grasses), la viande et la gelée comptant pour 85% au moins du poids total net; ces produits sont soumis à un traitement thermique suffisant pour garantir la coagulation des protéines de la viande dans l'ensemble du produit, qui ne présente donc pas de trace de liquide rosâtre sur sa face de découpage dans les cas où il est découpé le long d'une ligne passant par sa partie la plus épaisse (produits A)",,21-09-2017
0202309041,80,8,de bison,1,21-09-2017
0202309042,80,8,autres,1,21-09-2017
0202309043,10,7,"destinées à la fabrication de produits autres que ceux relevant des sous-positions ex 0210 20, 0210 99 51, 0210 99 90, 1602 50 10 et 1602 90 61 (produits B)",,21-09-2017
0202309043,80,8,de bison,1,21-09-2017
0202309044,80,8,autres,1,21-09-2017
0202309045,10,7,autres,,21-09-2017
0202309045,80,8,de bison,1,21-09-2017
0202309046,80,8,autres,1,21-09-2017
0202309047,10,6,autres,,21-09-2017
0202309047,80,7,de bison,1,21-09-2017
0202309048,80,7,autres,1,21-09-2017
0202309070,10,5,autres,,01-07-1996
0202309070,20,6,destinées à la transformation,,01-07-1996
0202309070,80,7,"destinées à la fabrication de produits relevant sous-positions 1602 10, 1602 50 31 ou 1602 50 95, ne contenant pas d'autre viande que celle d'animaux de l'espèce bovine, présentant un rapport collagène/protéines ne dépassant pas 0,45 et contenant au moins 20% de viande maigre en poids (à l'exclusion des abats et des matières grasses), la viande et la gelée comptant pour 85% au moins du poids total net; ces produits sont soumis à un traitement thermique suffisant pour garantir la coagulation des protéines de la viande dans l'ensemble du produit, qui ne présente donc pas de trace de liquide rosâtre sur sa face de découpage dans les cas où il est découpé le long d'une ligne passant par sa partie la plus épaisse (produits A)",1,01-07-1996
0202309075,80,7,"destinées à la fabrication de produits autres que ceux relevant des sous-positions ex 0210 20, 0210 99 51, 0210 99 90, 1602 50 10 et 1602 90 61 (produits B)",1,01-07-1996
0202309080,80,7,autres,1,01-07-1996
0202309090,80,6,autres,1,01-07-1996
0203000000,80,1,"Viandes des animaux de l'espèce porcine, fraîches, réfrigérées ou congelées",0,01-01-1972
0203110000,10,2,fraîches ou réfrigérées,,01-01-1972
0203110000,80,3,en carcasses ou demi-carcasses,0,01-01-1972
0203111000,80,4,des animaux de l'espèce porcine domestique,1,01-01-1972
0203119000,80,4,autres,1,01-01-1972
0203120000,80,3,"Jambons, épaules et leurs morceaux, non désossés",0,01-01-1972
0203121100,10,4,des animaux de l'espèce porcine domestique,,01-01-1972
0203121100,80,5,Jambons et morceaux de jambons,1,01-01-1972
0203121900,80,5,Épaules et morceaux d'épaules,1,01-01-1972
0203129000,80,4,autres,1,01-01-1972
0203190000,80,3,autres,0,01-01-1972
0203191100,10,4,des animaux de l'espèce porcine domestique,,01-01-1972
0203191100,80,5,Parties avant et morceaux de parties avant,1,01-01-1972
0203191300,80,5,Longes et morceaux de longes,1,01-01-1972
0203191500,80,5,Poitrines (entrelardées) et morceaux de poitrines,1,01-01-1972
0203195500,10,5,autres,,01-01-1972
0203195500,80,6,désossées,0,01-01-1972
0203195510,80,7,"Filets, présentés seuls",1,01-03-1992
0203195515,10,7,"Longes et morceaux de longes, à l'exclusion de filets présentés seuls",,01-07-2006
0203195515,80,8,Longes,1,01-07-2006
0203195525,80,8,Morceaux,1,01-07-2006
0203195530,80,7,Jambons et morceaux de jambons,1,01-07-1995
0203195590,80,7,autres,1,01-03-1992
0203195900,80,6,autres,1,01-01-1972
0203199000,80,4,autres,1,01-01-1972
0203210000,10,2,congelées,,01-01-1972
0203210000,80,3,en carcasses ou demi-carcasses,0,01-01-1972
0203211000,80,4,des animaux de l'espèce porcine domestique,1,01-01-1972
0203219000,80,4,autres,1,01-01-1972
0203220000,80,3,"Jambons, épaules et leurs morceaux, non désossés",0,01-01-1972
0203221100,10,4,des animaux de l'espèce porcine domestique,,01-01-1972
0203221100,80,5,Jambons et morceaux de jambons,1,01-01-1972
0203221900,80,5,Épaules et morceaux d'épaules,1,01-01-1972
0203229000,80,4,autres,1,01-01-1972
0203290000,80,3,autres,0,01-01-1972
0203291100,10,4,des animaux de l'espèce porcine domestique,,01-01-1972
0203291100,80,5,Parties avant et morceaux de parties avant,1,01-01-1972
0203291300,80,5,Longes et morceaux de longes,1,01-01-1972
