GOODS_CODE,SUFFIX,INDENT,DESCRIPTION,UNIT,IS_LEAF,GT_RATE,START_DATE
020329,80,3,autres:,,0,,1988-01-01
02032910,80,4,de sangliers,Fr. par 100 kg brut,1,7.00,1995-07-01
,10,4,autres:,,,,1995-07-01
02032981,80,5,importées dans les limites du contingent tarifaire (c. n° 6),Fr. par 100 kg brut,1,50.00,1995-07-01
,10,5,autres:,,,,1995-07-01
02032991,80,6,carrés et leurs parties,Fr. par 100 kg brut,1,2304.00,1995-07-01
02032999,80,6,autres,Fr. par 100 kg brut,1,329.00,1995-07-01
0204,80,1,"Viandes des animaux des espèces ovine ou caprine, fraîches, réfrigérées ou congelées:",,0,,1988-01-01
020410,80,2,"carcasses et demi-carcasses d'agneaux, fraîches ou réfrigérées:",,0,,1988-01-01
02041010,80,3,importées dans les limites du contingent tarifaire (c. n° 5),Fr. par 100 kg brut,1,30.00,1995-07-01
02041090,80,3,autres,Fr. par 100 kg brut,1,838.00,1995-07-01
,10,2,"autres viandes des animaux de l'espèce ovine, fraîches ou réfrigérées:",,,,1988-01-01
020421,80,3,en carcasses ou demi-carcasses:,,0,,1988-01-01
02042110,80,4,importées dans les limites du contingent tarifaire (c. n° 5),Fr. par 100 kg brut,1,30.00,1995-07-01
02042190,80,4,autres,Fr. par 100 kg brut,1,845.00,1995-07-01
020422,80,3,en autres morceaux non désossés:,,0,,1988-01-01
02042210,80,4,importés dans les limites du contingent tarifaire (c. n° 5),Fr. par 100 kg brut,1,30.00,1995-07-01
02042290,80,4,autres,Fr. par 100 kg brut,1,753.00,1995-07-01
020423,80,3,désossées:,,0,,1988-01-01
02042310,80,4,importées dans les limites du contingent tarifaire (c. n° 5),Fr. par 100 kg brut,1,30.00,1995-07-01
02042390,80,4,autres,Fr. par 100 kg brut,1,760.00,1995-07-01
020430,80,2,"carcasses et demi-carcasses d'agneaux, congelées:",,0,,1988-01-01
02043010,80,3,importées dans les limites du contingent tarifaire (c. n° 5),Fr. par 100 kg brut,1,30.00,1995-07-01
02043090,80,3,autres,Fr. par 100 kg brut,1,749.00,1995-07-01
,10,2,"autres viandes des animaux de l'espèce ovine, congelées:",,,,1988-01-01
020441,80,3,en carcasses ou demi-carcasses:,,0,,1988-01-01
