GOODS_CODE,SUFFIX,INDENT,DESCRIPTION,UNIT,IS_LEAF,GT_RATE,START_DATE
010639,80,3,andere:,,0,,2002-01-01
01063910,80,4,Federwild,Fr. je 100 kg brutto,1,8.00,2002-01-01
01063990,80,4,andere,Fr. je 100 kg brutto,1,0.00,2002-01-01
,10,2,Insekten:,,,,2012-01-01
01064100,80,3,Bienen,Fr. je 100 kg brutto,1,0.00,2012-01-01
01064900,80,3,andere,Fr. je 100 kg brutto,1,0.00,2012-01-01
01069000,80,2,andere,Fr. je 100 kg brutto,1,0.00,2002-01-01
02,80,0,Fleisch und geniessbare Schlachtnebenprodukte,,0,,1988-01-01
0201,80,1,"Fleisch von Tieren der Rindviehgattung, frisch oder gekühlt:",,0,,1988-01-01
020110,80,2,in ganzen oder halben Tierkörpern:,,0,,1988-01-01
,10,3,von Kälbern:,,,,1995-07-01
02011011,80,4,innerhalb des Zollkontingents (K-Nr. 5) eingeführt,Fr. je 100 kg brutto,1,94.00,1995-07-01
02011019,80,4,andere,Fr. je 100 kg brutto,1,758.00,1995-07-01
,10,3,andere:,,,,1995-07-01
02011091,80,4,innerhalb des Zollkontingents (K-Nr. 5) eingeführt,Fr. je 100 kg brutto,1,94.00,1995-07-01
02011099,80,4,andere,Fr. je 100 kg brutto,1,758.00,1995-07-01
020120,80,2,"andere Stücke, nicht ausgebeint:",,0,,1988-01-01
,10,3,von Kälbern:,,,,1995-07-01
02012011,80,4,innerhalb des Zollkontingents (K-Nr. 5) eingeführt,Fr. je 100 kg brutto,1,209.00,1995-07-01
02012019,80,4,andere,Fr. je 100 kg brutto,1,1368.00,1995-07-01
,10,3,andere:,,,,1995-07-01
02012091,80,4,innerhalb des Zollkontingents (K-Nr. 5) eingeführt,Fr. je 100 kg brutto,1,209.00,1995-07-01
02012099,80,4,andere,Fr. je 100 kg brutto,1,1368.00,1995-07-01
020130,80,2,ausgebeint:,,0,,1988-01-01
,10,3,von Kälbern:,,,,1995-07-01
02013011,80,4,innerhalb des Zollkontingents (K-Nr. 5) eingeführt,Fr. je 100 kg brutto,1,209.00,1995-07-01
02013019,80,4,andere,Fr. je 100 kg brutto,1,2212.00,1995-07-01
,10,3,andere:,,,,1995-07-01
02013091,80,4,innerhalb des Zollkontingents (K-Nr. 5) eingeführt,Fr. je 100 kg brutto,1,209.00,1995-07-01
02013099,80,4,andere,Fr. je 100 kg brutto,1,2212.00,1995-07-01
0202,80,1,"Fleisch von Tieren der Rindviehgattung, gefroren:",,0,,1988-01-01
020210,80,2,in ganzen oder halben Tierkörpern:,,0,,1988-01-01
,10,3,von Kälbern:,,,,1995-07-01
02021011,80,4,innerhalb des Zollkontingents (K-Nr. 5) eingeführt,Fr. je 100 kg brutto,1,94.00,1995-07-01
02021019,80,4,andere,Fr. je 100 kg brutto,1,758.00,1995-07-01
,10,3,andere:,,,,1995-07-01
02021091,80,4,innerhalb des Zollkontingents (K-Nr. 5) eingeführt,Fr. je 100 kg brutto,1,94.00,1995-07-01
02021099,80,4,andere,Fr. je 100 kg brutto,1,758.00,1995-07-01
020220,80,2,"andere Stücke, nicht ausgebeint:",,0,,1988-01-01
,10,3,von Kälbern:,,,,1995-07-01
02022011,80,4,innerhalb des Zollkontingents (K-Nr. 5) eingeführt,Fr. je 100 kg brutto,1,209.00,1995-07-01
02022019,80,4,andere,Fr. je 100 kg brutto,1,1233.00,1995-07-01
,10,3,andere:,,,,1995-07-01
02022091,80,4,innerhalb des Zollkontingents (K-Nr. 5) eingeführt,Fr. je 100 kg brutto,1,209.00,1995-07-01
02022099,80,4,andere,Fr. je 100 kg brutto,1,1233.00,1995-07-01
020230,80,2,ausgebeint:,,0,,1988-01-01
,10,3,von Kälbern:,,,,1995-07-01
02023011,80,4,innerhalb des Zollkontingents (K-Nr. 5) eingeführt,Fr. je 100 kg brutto,1,209.00,1995-07-01
02023019,80,4,andere,Fr. je 100 kg brutto,1,2057.00,1995-07-01
,10,3,andere:,,,,1995-07-01
02023091,80,4,innerhalb des Zollkontingents (K-Nr. 5) eingeführt,Fr. je 100 kg brutto,1,209.00,1995-07-01
02023099,80,4,andere,Fr. je 100 kg brutto,1,2057.00,1995-07-01
0203,80,1,"Fleisch von Tieren der Schweinegattung, frisch, gekühlt oder gefroren:",,0,,1988-01-01
,10,2,frisch oder gekühlt:,,,,1988-01-01
020311,80,3,in ganzen oder halben Tierkörpern:,,0,,1988-01-01
02031110,80,4,von Wildschweinen,Fr. je 100 kg brutto,1,9.00,1995-07-01
,10,4,andere:,,,,1995-07-01
02031191,80,5,innerhalb des Zollkontingents (K-Nr. 6) eingeführt,Fr. je 100 kg brutto,1,43.00,1995-07-01
02031199,80,5,andere,Fr. je 100 kg brutto,1,347.00,1995-07-01
020312,80,3,"Schinken, Schultern und Stücke davon, nicht ausgebeint:",,0,,1988-01-01
02031210,80,4,von Wildschweinen,Fr. je 100 kg brutto,1,7.00,1995-07-01
,10,4,andere:,,,,1995-07-01
02031291,80,5,innerhalb des Zollkontingents (K-Nr. 6) eingeführt,Fr. je 100 kg brutto,1,50.00,1995-07-01
02031299,80,5,andere,Fr. je 100 kg brutto,1,508.00,1995-07-01
020319,80,3,anderes:,,0,,1988-01-01
02031910,80,4,von Wildschweinen,Fr. je 100 kg brutto,1,7.00,1995-07-01
,10,4,anderes:,,,,1995-07-01
02031981,80,5,innerhalb des Zollkontingents (K-Nr. 6) eingeführt,Fr. je 100 kg brutto,1,50.00,1995-07-01
,10,5,anderes:,,,,1995-07-01
02031991,80,6,Carrés und Teile davon,Fr. je 100 kg brutto,1,2304.00,1995-07-01
02031999,80,6,anderes,Fr. je 100 kg brutto,1,396.00,1995-07-01
,10,2,gefroren:,,,,1988-01-01
020321,80,3,in ganzen oder halben Tierkörpern:,,0,,1988-01-01
02032110,80,4,von Wildschweinen,Fr. je 100 kg brutto,1,9.00,1995-07-01
,10,4,andere:,,,,1995-07-01
02032191,80,5,innerhalb des Zollkontingents (K-Nr. 6) eingeführt,Fr. je 100 kg brutto,1,43.00,1995-07-01
02032199,80,5,andere,Fr. je 100 kg brutto,1,355.00,1995-07-01
020322,80,3,"Schinken, Schultern und Stücke davon, nicht ausgebeint:",,0,,1988-01-01
02032210,80,4,von Wildschweinen,Fr. je 100 kg brutto,1,7.00,1995-07-01
,10,4,andere:,,,,1995-07-01
02032291,80,5,innerhalb des Zollkontingents (K-Nr. 6) eingeführt,Fr. je 100 kg brutto,1,50.00,1995-07-01
02032299,80,5,andere,Fr. je 100 kg brutto,1,474.00,1995-07-01
020329,80,3,anderes:,,0,,1988-01-01
02032910,80,4,von Wildschweinen,Fr. je 100 kg brutto,1,7.00,1995-07-01
,10,4,anderes:,,,,1995-07-01
02032981,80,5,innerhalb des Zollkontingents (K-Nr. 6) eingeführt,Fr. je 100 kg brutto,1,50.00,1995-07-01
,10,5,anderes:,,,,1995-07-01
02032991,80,6,Carrés und Teile davon,Fr. je 100 kg brutto,1,2304.00,1995-07-01
02032999,80,6,anderes,Fr. je 100 kg brutto,1,329.00,1995-07-01
0204,80,1,"Fleisch von Tieren der Schaf- oder Ziegengattung, frisch, gekühlt oder gefroren:",,0,,1988-01-01
020410,80,2,"ganze oder halbe Tierkörper von Lämmern, frisch oder gekühlt:",,0,,1988-01-01
02041010,80,3,innerhalb des Zollkontingents (K-Nr. 5) eingeführt,Fr. je 100 kg brutto,1,30.00,1995-07-01
02041090,80,3,andere,Fr. je 100 kg brutto,1,838.00,1995-07-01
,10,2,"anderes Fleisch von Tieren der Schafgattung, frisch oder gekühlt:",,,,1988-01-01
020421,80,3,in ganzen oder halben Tierkörpern:,,0,,1988-01-01
02042110,80,4,innerhalb des Zollkontingents (K-Nr. 5) eingeführt,Fr. je 100 kg brutto,1,30.00,1995-07-01
02042190,80,4,andere,Fr. je 100 kg brutto,1,845.00,1995-07-01
020422,80,3,"in anderen Stücken, nicht ausgebeint:",,0,,1988-01-01
02042210,80,4,innerhalb des Zollkontingents (K-Nr. 5) eingeführt,Fr. je 100 kg brutto,1,30.00,1995-07-01
02042290,80,4,andere,Fr. je 100 kg brutto,1,753.00,1995-07-01
020423,80,3,ausgebeint:,,0,,1988-01-01
02042310,80,4,innerhalb des Zollkontingents (K-Nr. 5) eingeführt,Fr. je 100 kg brutto,1,30.00,1995-07-01
02042390,80,4,anderes,Fr. je 100 kg brutto,1,760.00,1995-07-01
020430,80,2,"ganze oder halbe Tierkörper von Lämmern, gefroren:",,0,,1988-01-01
02043010,80,3,innerhalb des Zollkontingents (K-Nr. 5) eingeführt,Fr. je 100 kg brutto,1,30.00,1995-07-01
02043090,80,3,andere,Fr. je 100 kg brutto,1,749.00,1995-07-01
,10,2,"anderes Fleisch von Tieren der Schafgattung, gefroren:",,,,1988-01-01
020441,80,3,in ganzen oder halben Tierkörpern:,,0,,1988-01-01
02044110,80,4,innerhalb des Zollkontingents (K-Nr. 5) eingeführt,Fr. je 100 kg brutto,1,30.00,1995-07-01
02044190,80,4,andere,Fr. je 100 kg brutto,1,858.00,1995-07-01
020442,80,3,"in anderen Stücken, nicht ausgebeint:",,0,,1988-01-01
02044210,80,4,innerhalb des Zollkontingents (K-Nr. 5) eingeführt,Fr. je 100 kg brutto,1,30.00,1995-07-01
02044290,80,4,andere,Fr. je 100 kg brutto,1,809.00,1995-07-01
