GOODS_CODE,SUFFIX,INDENT,DESCRIPTION,UNIT,IS_LEAF,GT_RATE,START_DATE
02011019,80,4,altre,Fr. per 100 kg peso lordo,1,758.00,1995-07-01
,10,3,altre:,,,,1995-07-01
02011091,80,4,importate nei limiti del contingente doganale (n. cont. 5),Fr. per 100 kg peso lordo,1,94.00,1995-07-01
02011099,80,4,altre,Fr. per 100 kg peso lordo,1,758.00,1995-07-01
020120,80,2,altri pezzi non disossati:,,0,,1988-01-01
,10,3,di vitello:,,,,1995-07-01
02012011,80,4,importati nei limiti del contingente doganale (n. cont. 5),Fr. per 100 kg peso lordo,1,209.00,1995-07-01
02012019,80,4,altri,Fr. per 100 kg peso lordo,1,1368.00,1995-07-01
,10,3,altri:,,,,1995-07-01
02012091,80,4,importati nei limiti del contingente doganale (n. cont. 5),Fr. per 100 kg peso lordo,1,209.00,1995-07-01
02012099,80,4,altri,Fr. per 100 kg peso lordo,1,1368.00,1995-07-01
020130,80,2,disossati:,,0,,1988-01-01
,10,3,di vitello:,,,,1995-07-01
02013011,80,4,importati nei limiti del contingente doganale (n. cont. 5),Fr. per 100 kg peso lordo,1,209.00,1995-07-01
02013019,80,4,altri,Fr. per 100 kg peso lordo,1,2212.00,1995-07-01
,10,3,altri:,,,,1995-07-01
02013091,80,4,importati nei limiti del contingente doganale (n. cont. 5),Fr. per 100 kg peso lordo,1,209.00,1995-07-01
02013099,80,4,altri,Fr. per 100 kg peso lordo,1,2212.00,1995-07-01
0202,80,1,"Carni di animali della specie bovina, congelate:",,0,,1988-01-01
020210,80,2,in carcasse o mezzene:,,0,,1988-01-01
,10,3,di vitello:,,,,1995-07-01
02021011,80,4,importate nei limiti del contingente doganale (n. cont. 5),Fr. per 100 kg peso lordo,1,94.00,1995-07-01
02021019,80,4,altre,Fr. per 100 kg peso lordo,1,758.00,1995-07-01
,10,3,altre:,,,,1995-07-01
02021091,80,4,importate nei limiti del contingente doganale (n. cont. 5),Fr. per 100 kg peso lordo,1,94.00,1995-07-01
02021099,80,4,altre,Fr. per 100 kg peso lordo,1,758.00,1995-07-01
020220,80,2,altri pezzi non disossati:,,0,,1988-01-01
,10,3,di vitello:,,,,1995-07-01
02022011,80,4,importati nei limiti del contingente doganale (n. cont. 5),Fr. per 100 kg peso lordo,1,209.00,1995-07-01
02022019,80,4,altri,Fr. per 100 kg peso lordo,1,1233.00,1995-07-01
,10,3,altri:,,,,1995-07-01
02022091,80,4,importati nei limiti del contingente doganale (n. cont. 5),Fr. per 100 kg peso lordo,1,209.00,1995-07-01
02022099,80,4,altri,Fr. per 100 kg peso lordo,1,1233.00,1995-07-01
020230,80,2,disossati:,,0,,1988-01-01
,10,3,di vitello:,,,,1995-07-01
02023011,80,4,importati nei limiti del contingente doganale (n. cont. 5),Fr. per 100 kg peso lordo,1,209.00,1995-07-01
02023019,80,4,altri,Fr. per 100 kg peso lordo,1,2057.00,1995-07-01
,10,3,altri:,,,,1995-07-01
02023091,80,4,importati nei limiti del contingente doganale (n. cont. 5),Fr. per 100 kg peso lordo,1,209.00,1995-07-01
02023099,80,4,altri,Fr. per 100 kg peso lordo,1,2057.00,1995-07-01
0203,80,1,"Carni di animali della specie suina, fresche, refrigerate o congelate:",,0,,1988-01-01
,10,2,fresche o refrigerate:,,,,1988-01-01
020311,80,3,in carcasse o mezzene:,,0,,1988-01-01
02031110,80,4,di cinghiale,Fr. per 100 kg peso lordo,1,9.00,1995-07-01
,10,4,altre:,,,,1995-07-01
02031191,80,5,importate nei limiti del contingente doganale (n. cont. 6),Fr. per 100 kg peso lordo,1,43.00,1995-07-01
02031199,80,5,altre,Fr. per 100 kg peso lordo,1,347.00,1995-07-01
020312,80,3,"prosciutti, spalle e loro pezzi, non disossati:",,0,,1988-01-01
02031210,80,4,di cinghiale,Fr. per 100 kg peso lordo,1,7.00,1995-07-01
,10,4,altri:,,,,1995-07-01
02031291,80,5,importati nei limiti del contingente doganale (n. cont. 6),Fr. per 100 kg peso lordo,1,50.00,1995-07-01
02031299,80,5,altri,Fr. per 100 kg peso lordo,1,508.00,1995-07-01
020319,80,3,altre:,,0,,1988-01-01
02031910,80,4,di cinghiale,Fr. per 100 kg peso lordo,1,7.00,1995-07-01
,10,4,altre:,,,,1995-07-01
02031981,80,5,importate nei limiti del contingente doganale (n. cont. 6),Fr. per 100 kg peso lordo,1,50.00,1995-07-01
,10,5,altre:,,,,1995-07-01
02031991,80,6,lombata e sue parti,Fr. per 100 kg peso lordo,1,2304.00,1995-07-01
02031999,80,6,altre,Fr. per 100 kg peso lordo,1,396.00,1995-07-01
,10,2,congelate:,,,,1988-01-01
020321,80,3,in carcasse o mezzene:,,0,,1988-01-01
02032110,80,4,di cinghiale,Fr. per 100 kg peso lordo,1,9.00,1995-07-01
,10,4,altre:,,,,1995-07-01
02032191,80,5,importate nei limiti del contingente doganale (n. cont. 6),Fr. per 100 kg peso lordo,1,43.00,1995-07-01
02032199,80,5,altre,Fr. per 100 kg peso lordo,1,355.00,1995-07-01
